payment_date,ex_date,gross_dividend_paid,net_dividend_paid,dividend_type
10/04/2023,23/02/2023,0.0367,0.0367,DIV
13/01/2023,29/12/2022,0.064,0.0544,JCP
29/12/2022,22/12/2022,0.0242,0.0242,DIV
07/10/2022,22/09/2022,0.0281,0.0281,DIV
07/10/2022,22/09/2022,0.0548,0.04658,JCP
08/07/2022,28/06/2022,0.0609,0.051765,JCP
08/07/2022,28/06/2022,0.0699,0.0699,DIV
08/04/2022,24/03/2022,0.0503,0.042754999999999994,JCP
08/04/2022,24/03/2022,0.1312,0.1312,DIV
07/01/2022,30/12/2021,0.0498,0.04233,JCP
30/12/2021,20/12/2021,0.1495,0.1495,DIV
07/10/2021,28/09/2021,0.0442,0.03757,JCP
07/10/2021,28/09/2021,0.1504,0.1504,DIV
07/07/2021,29/06/2021,0.1685,0.1685,DIV
07/07/2021,29/06/2021,0.0461,0.039185,JCP
08/04/2021,26/03/2021,0.0382,0.03247,JCP
07/05/2021,24/03/2021,0.1952,0.1952,DIV
08/04/2021,24/03/2021,0.131,0.131,DIV
08/01/2021,30/12/2020,0.1368,0.1368,DIV
08/01/2021,30/12/2020,0.049,0.04165,JCP
07/10/2020,24/09/2020,0.2162,0.2162,DIV
07/10/2020,24/09/2020,0.0493,0.041905,JCP
07/08/2020,30/06/2020,0.0489,0.041565,JCP
07/05/2020,25/03/2020,0.106,0.106,DIV
07/04/2020,25/03/2020,0.0562,0.0562,DIV
07/04/2020,25/03/2020,0.0478,0.04063,JCP
13/01/2020,30/12/2019,0.0634,0.05388999999999999,JCP
07/10/2019,24/09/2019,0.0627,0.053295,JCP
07/10/2019,24/09/2019,0.0431,0.0431,DIV
17/07/2019,04/07/2019,0.0344,0.0344,DIV
17/07/2019,25/06/2019,0.0635,0.053975,JCP
05/04/2019,26/03/2019,0.0643,0.054654999999999995,JCP
08/01/2019,21/12/2018,0.069,0.05865,JCP
05/10/2018,21/09/2018,0.0587,0.049895,JCP
10/07/2018,27/06/2018,0.0737,0.062645,JCP
08/05/2018,23/04/2018,0.0326,0.027709999999999995,JCP
