payment_date,ex_date,gross_dividend_paid,net_dividend_paid,dividend_type
31/03/2023,13/03/2023,0.352,0.29919999999999997,JCP
03/03/2023,23/02/2023,0.5862,0.49827000000000005,JCP
03/03/2023,23/02/2023,0.2407,0.2407,DIV
29/12/2022,13/12/2022,0.3455,0.29367499999999996,JCP
30/11/2022,21/11/2022,0.6345,0.5393249999999999,JCP
30/11/2022,21/11/2022,0.1702,0.1702,DIV
30/09/2022,12/09/2022,0.2737,0.232645,JCP
31/08/2022,23/08/2022,0.20018899819,0.20018899819,Dividendos
31/08/2022,23/08/2022,0.57067846688,0.485076696848,JCP (complementar)
30/06/2022,14/06/2022,0.25028502411,0.21274227049349997,JCP
31/05/2022,24/05/2022,0.15534705486,0.15534705486,Dividendos
31/05/2022,24/05/2022,0.51772406601,0.44006545610849995,JCP (complementar)
31/03/2022,15/03/2022,0.2106287685,0.179034453225,JCP
11/03/2022,03/03/2022,0.35582259981,0.35582259981,Dividendos
11/03/2022,03/03/2022,0.45420558916,0.38607475078599995,JCP (complementar)
30/12/2021,14/12/2021,0.1749912758,0.14874258443000002,JCP
30/11/2021,23/11/2021,0.3937031487,0.334647676395,JCP (complementar)
30/09/2021,14/09/2021,0.18473964825,0.1570287010125,JCP
31/08/2021,24/08/2021,0.34558887271,0.29375054180349996,JCP (complementar)
30/06/2021,14/06/2021,0.16851902084,0.143241167714,JCP
28/05/2021,24/05/2021,0.07433470709,0.07433470709,Dividendos
28/05/2021,24/05/2021,0.34011137994,0.289094672949,JCP (complementar)
31/03/2021,12/03/2021,0.1457142602,0.12385712117,JCP
03/03/2021,23/02/2021,0.43453097234,0.369351326489,JCP (complementar)
30/12/2020,14/12/2020,0.11698470002,0.099436995017,JCP
27/11/2020,17/11/2020,0.19477374027,0.1655576792295,JCP (complementar)
30/09/2020,14/09/2020,0.10286281871,0.0874333959035,JCP
31/08/2020,24/08/2020,0.44061982023,0.3745268471955,JCP (complementar)
31/03/2020,12/03/2020,0.18142052744,0.154207448324,JCP
05/03/2020,24/02/2020,0.43566969199,0.3703192381915,JCP (complementar)
30/12/2019,12/12/2019,0.17617400289,0.1497479024565,JCP
29/11/2019,22/11/2019,0.36504214146,0.310285820241,JCP (complementar)
30/09/2019,12/09/2019,0.23295577479,0.1980124085715,JCP
30/08/2019,22/08/2019,0.44141315124,0.37520117855400004,JCP (complementar)
28/06/2019,12/06/2019,0.17105448841,0.14539631514850002,JCP
31/05/2019,22/05/2019,0.41483872575,0.3526129168875,JCP (complementar)
29/03/2019,12/03/2019,0.15612452467,0.1327058459695,JCP
07/03/2019,22/02/2019,0.58551597122,0.49768857553699997,JCP (complementar)
28/12/2018,12/12/2018,0.12567066595,0.10682006605750001,JCP
30/11/2018,22/11/2018,0.41689360986,0.354359568381,JCP (complementar)
28/09/2018,12/09/2018,0.08549178751,0.0726680193835,JCP
31/08/2018,22/08/2018,0.26669130967,0.22668761321949998,JCP (complementar)
29/06/2018,12/06/2018,0.07720331573,0.06562281837049999,JCP
30/05/2018,22/05/2018,0.21395486144,0.181861632224,JCP (complementar)
29/03/2018,13/03/2018,0.08171009701,0.0694535824585,JCP
12/03/2018,02/03/2018,0.24261349573,0.20622147137049998,JCP (complementar)
