payment_date,ex_date,gross_dividend_paid,net_dividend_paid,dividend_type
02/01/2023,01/12/2022,0.02,0.017,JCP
01/12/2022,01/11/2022,0.02,0.017,JCP
01/11/2022,03/10/2022,0.02,0.017,JCP
03/10/2022,01/09/2022,0.02,0.017,JCP
01/09/2022,01/08/2022,0.02,0.017,JCP
01/08/2022,01/07/2022,0.02,0.017,JCP
30/06/2022,20/06/2022,0.2,0.17,JCP
01/07/2022,01/06/2022,0.02,0.017,JCP
01/06/2022,02/05/2022,0.02,0.017,JCP
02/05/2022,01/04/2022,0.02,0.017,JCP
01/04/2022,02/03/2022,0.02,0.017,JCP
02/03/2022,01/02/2022,0.02,0.017,JCP
01/02/2022,03/01/2022,0.02,0.017,JCP
30/12/2021,20/12/2021,0.02,0.017,JCP
30/12/2021,20/12/2021,0.22,0.22,DIV
03/01/2022,01/12/2021,0.02,0.017,JCP
01/12/2021,01/11/2021,0.02,0.017,JCP
01/11/2021,01/10/2021,0.02,0.017,JCP
01/10/2021,01/09/2021,0.02,0.017,JCP
01/09/2021,02/08/2021,0.02,0.017,JCP
12/07/2021,02/07/2021,0.54,0.459,JCP
02/08/2021,01/07/2021,0.02,0.017,JCP
01/07/2021,01/06/2021,0.02,0.017,JCP
01/06/2021,03/05/2021,0.02,0.017,JCP
03/05/2021,01/04/2021,0.02,0.017,JCP
01/04/2021,01/03/2021,0.02,0.017,JCP
08/03/2021,17/02/2021,0.02,0.017,JCP
01/03/2021,01/02/2021,0.02,0.017,JCP
01/02/2021,04/01/2021,0.02,0.017,JCP
07/01/2021,28/12/2020,0.42,0.357,JCP
04/01/2021,01/12/2020,0.02,0.017,JCP
01/12/2020,03/11/2020,0.02,0.017,JCP
03/11/2020,01/10/2020,0.02,0.017,JCP
01/10/2020,01/09/2020,0.02,0.017,JCP
01/09/2020,03/08/2020,0.02,0.017,JCP
03/08/2020,01/07/2020,0.02,0.017,JCP
01/07/2020,01/06/2020,0.02,0.017,JCP
01/06/2020,04/05/2020,0.02,0.017,JCP
04/05/2020,01/04/2020,0.02,0.017,JCP
01/04/2020,02/03/2020,0.02,0.017,JCP
28/02/2020,17/02/2020,0.06,0.06,DIV
02/03/2020,03/02/2020,0.02,0.017,JCP
03/02/2020,02/01/2020,0.02,0.017,JCP
30/12/2019,19/12/2019,0.55,0.4675,JCP
02/01/2020,02/12/2019,0.02,0.017,JCP
02/12/2019,01/11/2019,0.02,0.017,JCP
23/10/2019,17/10/2019,1.04,1.04,DIV
01/11/2019,01/10/2019,0.02,0.017,JCP
01/10/2019,02/09/2019,0.02,0.017,JCP
02/09/2019,01/08/2019,0.02,0.017,JCP
01/08/2019,01/07/2019,0.02,0.017,JCP
15/07/2019,28/06/2019,0.19,0.1615,JCP
01/07/2019,03/06/2019,0.02,0.017,JCP
03/06/2019,02/05/2019,0.02,0.017,JCP
02/05/2019,01/04/2019,0.02,0.017,JCP
01/04/2019,01/03/2019,0.02,0.017,JCP
01/03/2019,01/02/2019,0.02,0.017,JCP
01/02/2019,02/01/2019,0.02,0.017,JCP
08/03/2019,21/12/2018,0.73,0.6204999999999999,JCP
02/01/2019,03/12/2018,0.02,0.017,JCP
03/12/2018,01/11/2018,0.02,0.017,JCP
01/11/2018,01/10/2018,0.02,0.017,JCP
01/10/2018,03/09/2018,0.02,0.017,JCP
03/09/2018,01/08/2018,0.02,0.017,JCP
01/08/2018,02/07/2018,0.02,0.017,JCP
16/07/2018,29/06/2018,0.19,0.1615,JCP
02/07/2018,01/06/2018,0.02,0.017,JCP
01/06/2018,02/05/2018,0.02,0.017,JCP
02/05/2018,02/04/2018,0.02,0.017,JCP
02/04/2018,01/03/2018,0.02,0.017,JCP
01/03/2018,01/02/2018,0.02,0.017,JCP
01/02/2018,02/01/2018,0.02,0.017,JCP
