payment_date,ex_date,gross_dividend_paid,net_dividend_paid,dividend_type
15/02/2023,04/01/2023,0.1477,0.125545,JCP
15/08/2022,04/08/2022,0.3132,0.26621999999999996,JCP
15/02/2022,05/01/2022,0.1473,0.12520499999999998,JCP
06/01/2022,20/12/2021,0.0678,0.05763,JCP
12/08/2021,05/08/2021,0.1699,0.144415,JCP
05/02/2021,06/01/2021,0.1557,0.132345,JCP
05/02/2021,22/07/2020,0.1474,0.12529,JCP
17/02/2020,06/01/2020,0.1551,0.13183499999999998,JCP
15/08/2019,08/08/2019,0.1788,0.15197999999999998,JCP
28/02/2019,07/01/2019,0.1732,0.14722,JCP
22/08/2018,13/08/2018,0.1684,0.14314,JCP
