payment_date,ex_date,gross_dividend_paid,net_dividend_paid,dividend_type
20/09/2022,11/08/2022,3.366001,3.366001,Dividendo
31/08/2022,11/08/2022,0.427141,0.363070,JCP
31/08/2022,11/08/2022,2.938861,2.938861,Dividendo
20/07/2022,23/05/2022,1.857745,1.857745,Dividendo
20/06/2022,23/05/2022,1.427568,1.427568,Dividendo
20/06/2022,23/05/2022,0.430177,0.365650,JCP
16/05/2022,13/04/2022,2.970249,2.945685,Dividendo
15/12/2021,01/12/2021,2.195126,2.195126,Dividendo
15/12/2021,01/12/2021,1.055361,0.897057,JCP
25/08/2021,16/08/2021,1.609911,1.609911,Dividendo
29/04/2021,14/04/2021,0.792834,0.791622,Dividendo
15/12/2020,22/07/2020,0.000461,0.000459,Dividendo
07/02/2020,26/12/2019,0.421942,0.358505,JCP
07/02/2020,11/11/2019,0.200925,0.170717,JCP
04/10/2019,12/08/2019,0.20,0.1700,JCP
05/07/2019,21/05/2019,0.10,0.0850,JCP
20/05/2019,25/04/2019,0.019494,0.019393,Dividendo
20/05/2019,21/12/2018,0.716563,0.607836,JCP
03/12/2018,21/11/2018,0.10,0.0850,JCP
23/08/2018,13/08/2018,0.05,0.0425,JCP
29/05/2018,21/05/2018,0.05,0.0425,JCP
