payment_date,ex_date,gross_dividend_paid,net_dividend_paid,dividend_type
01/09/2022,11/08/2022,2.0327,2.0327,Dividendo
01/09/2022,11/08/2022,1.5394,1.3084900000000002,JCP
16/03/2022,08/03/2022,3.7193,3.7193,Dividendo
30/09/2021,22/09/2021,8.1972,8.1972,Dividendo
30/06/2021,23/06/2021,2.1897,2.1897,Dividendo
15/03/2021,04/03/2021,0.8357,0.710345,JCP
15/03/2021,04/03/2021,3.4259,3.4259,Dividendo
30/09/2020,21/09/2020,0.9973,0.8477049999999999,JCP
30/09/2020,21/09/2020,1.4102,1.4102,Dividendo
07/08/2020,26/12/2019,1.4144,1.20224,JCP
20/09/2018,02/08/2018,1.3086,1.11231,JCP
20/09/2018,02/08/2018,0.1717,0.1717,Dividendo
15/03/2018,06/03/2018,0.4885,0.41522499999999996,JCP
