payment_date,ex_date,gross_dividend_paid,net_dividend_paid,dividend_type
nan,31/03/2023,0.1745,0.14832499999999998,JCP
31/07/2023,28/02/2023,0.0638,0.054229999999999993,JCP
nan,29/12/2022,0.6006,0.6006,DIV
nan,29/12/2022,0.4294,0.36499,JCP
31/07/2023,31/08/2022,0.1796,0.15266000000000002,JCP
31/07/2023,30/06/2022,0.2871,0.244035,JCP
31/07/2023,29/04/2022,0.0896,0.07615999999999999,JCP
18/10/2022,26/04/2022,1.2097,1.2097,DIV
31/07/2022,31/03/2022,0.1493,0.126905,JCP
18/04/2023,25/02/2022,0.1074,0.09129,JCP
31/07/2022,25/02/2022,0.1074,0.09129,JCP
18/10/2022,27/12/2021,0.8945,0.8945,DIV
19/07/2022,27/12/2021,0.48,0.408,JCP
19/07/2022,30/09/2021,0.3573,0.303705,JCP
19/07/2022,30/06/2021,0.3739,0.317815,JCP
19/07/2022,30/04/2021,0.1661,0.141185,JCP
05/10/2021,15/04/2021,0.9404,0.9404,DIV
19/07/2022,31/03/2021,0.1601,0.13608499999999998,JCP
19/07/2022,26/02/2021,0.0889,0.07556500000000001,JCP
05/10/2021,28/12/2020,0.7108,0.7108,DIV
13/07/2021,28/12/2020,0.154,0.1309,JCP
13/07/2021,27/11/2020,0.2369,0.201365,JCP
13/07/2021,28/09/2020,0.361,0.30684999999999996,JCP
13/07/2021,30/06/2020,0.4998,0.42483,JCP
09/12/2020,28/05/2020,1.2193,1.2193,DIV
13/07/2021,31/03/2020,0.0833,0.07080499999999999,JCP
13/07/2021,28/02/2020,0.1499,0.127415,JCP
18/08/2020,30/12/2019,0.1944,0.16524,JCP
18/08/2020,30/12/2019,0.5554,0.5554,DIV
18/08/2020,28/06/2019,0.5376,0.45696,JCP
18/08/2020,30/04/2019,0.3166,0.26910999999999996,JCP
17/12/2019,11/04/2019,1.371,1.371,DIV
18/08/2020,28/02/2019,0.3888,0.33048,JCP
17/12/2019,17/12/2018,0.7497,0.6372450000000001,JCP
20/08/2019,17/09/2018,1.555,1.32175,JCP
20/08/2019,29/06/2018,0.2221,0.18878499999999998,JCP
11/12/2018,12/04/2018,1.2173,1.2173,DIV
