date,stock_price,premium,strike_date,strike_price,strike_margin,time_to_expire_days,volume_traded
2018-01-02,21.69,0.05,2018-01-15,20.66,-0.047487321346242554,13,1825.0
2018-01-02,21.69,0.05,2018-01-15,20.41,-0.059013370216689766,13,50.0
2018-01-02,21.69,0.06,2018-01-15,20.91,-0.03596127247579535,13,2400.0
2018-01-02,21.69,0.42,2018-02-19,21.82,0.005993545412632503,48,31044.0
2018-01-02,21.69,0.3,2018-02-19,21.57,-0.0055325034578147065,48,7200.0
2018-01-03,21.74,0.79,2018-12-17,20.33,-0.06485740570377187,348,79000.0
2018-01-03,21.74,0.12,2018-12-17,18.58,-0.1453541858325667,348,12000.0
2018-01-03,21.74,0.26,2018-02-19,21.57,-0.007819687212511415,47,390.0
2018-01-03,21.74,0.33,2018-02-19,21.82,0.00367985280588785,47,2046.0
2018-01-03,21.74,0.21,2018-02-19,21.32,-0.01931922723091068,47,147.0
2018-01-03,21.74,0.02,2018-01-15,20.91,-0.03817847286108548,12,960.0
2018-01-03,21.74,0.09,2018-01-15,21.41,-0.015179392824286951,12,2254.0
2018-01-03,21.74,0.45,2018-01-15,22.16,0.019319227230910844,12,180.0
2018-01-03,21.74,1.15,2018-01-15,22.91,0.05381784728610864,12,151230.0
2018-01-04,21.62,0.18,2018-01-15,21.66,0.001850138760406991,11,640.0
2018-01-04,21.62,0.12,2018-01-15,21.41,-0.00971322849213695,11,3200.0
2018-01-04,21.62,1.3,2018-01-15,22.91,0.05966697502312669,11,46800.0
2018-01-04,21.62,0.41,2018-02-19,21.82,0.00925069380203512,46,6150.0
2018-01-05,21.7,0.11,2018-02-19,20.82,-0.040552995391705024,45,176.0
2018-01-05,21.7,0.78,2018-02-19,22.32,0.02857142857142862,45,1872.0
2018-01-05,21.7,0.04,2018-01-15,20.91,-0.036405529953917014,10,4.0
2018-01-05,21.7,1.3,2018-01-15,22.91,0.05576036866359451,10,231840.0
2018-01-05,21.7,0.2,2018-01-15,21.66,-0.0018433179723501912,10,14760.0
2018-01-05,21.7,0.55,2018-01-15,22.16,0.02119815668202769,10,110.0
2018-01-05,21.7,0.12,2018-01-15,21.41,-0.013364055299539131,10,144.0
2018-01-08,21.66,0.19,2018-01-15,21.66,0.0,7,19.0
2018-01-08,21.66,0.04,2018-01-15,21.16,-0.023084025854108955,7,1124.0
2018-01-08,21.66,0.02,2018-01-15,20.91,-0.03462603878116344,7,780.0
2018-01-08,21.66,1.35,2018-01-15,22.91,0.05771006463527239,7,16200.0
2018-01-09,21.6,0.57,2018-03-19,21.82,0.010185185185185132,69,6840.0
2018-01-10,21.6,0.14,2018-02-19,20.82,-0.03611111111111116,40,392.0
2018-01-10,21.6,0.05,2018-02-19,19.82,-0.08240740740740746,40,500.0
2018-01-10,21.6,0.02,2018-01-15,20.91,-0.031944444444444504,5,120.0
2018-01-10,21.6,0.05,2018-01-15,21.41,-0.008796296296296354,5,660.0
2018-01-11,21.85,0.06,2018-01-15,21.66,-0.0086956521739131,4,720.0
2018-01-11,21.85,0.02,2018-01-15,21.16,-0.03157894736842111,4,512.0
2018-01-11,21.85,0.01,2018-01-15,20.91,-0.04302059496567511,4,100.0
