date,stock_price,premium,strike_date,strike_price,strike_margin,time_to_expire_days,volume_traded
2018-09-19,5.310785,0.88,2019-01-21,5.035785,-0.05178142214380743,124,7040.0
2018-09-19,5.310785,0.31,2018-10-15,5.035785,-0.05178142214380743,26,930.0
2018-09-19,5.310785,0.72,2018-11-19,5.035785,-0.05178142214380743,61,3600.0
2018-09-19,5.310785,0.91,2018-12-17,5.080785,-0.04330809852027533,89,6370.0
2018-10-22,5.128285,0.38,2018-11-19,5.035785,-0.01803721907031303,28,760.0
2018-10-22,5.128285,0.7,2018-12-17,5.080785,-0.00926235573880943,56,1400.0
2018-11-19,5.453285,0.17,2018-12-17,5.080785,-0.0683074513802232,28,1500.0
2019-01-15,6.47259,0.14,2019-02-18,6.11259,-0.05561915709167432,34,840.0
2019-01-15,6.47259,0.09,2019-01-21,6.36259,-0.016994742444678298,6,340.0
2019-02-19,8.48509,0.39,2019-03-18,8.300089999999999,-0.021802950823149845,27,1910.0
2019-02-19,8.48509,1.0,2019-04-15,8.26009,-0.026517102352479425,55,7780.0
2019-02-26,8.22259,0.55,2019-04-15,7.26009,-0.11705557494658013,48,67844.0
2019-03-15,8.94009,0.77,2019-04-15,8.26009,-0.07606187409746432,31,5390.0
2019-03-15,8.94009,0.78,2019-04-15,8.32259,-0.06907089302232973,31,1660.0
2019-03-19,9.14759,0.12,2019-04-15,8.26009,-0.09702008944432351,27,710.0
2019-03-26,9.13509,0.57,2019-05-20,8.32259,-0.08894274714315896,55,4830.0
2019-04-04,9.69759,0.15,2019-06-17,7.94759,-0.1804572063780795,74,84888.0
2019-04-04,9.69759,0.8,2019-06-17,8.82259,-0.09022860318903975,74,432000.0
2019-04-12,9.42009,0.22,2019-05-20,8.32259,-0.11650631788019011,38,1000.0
2019-05-10,10.51009,0.7,2019-09-16,8.57259,-0.1843466611608464,129,369145.0
2019-05-10,10.51009,1.9,2019-09-16,9.57259,-0.08919999733589341,129,1007000.0
2019-05-13,10.51009,0.05,2019-06-17,7.94759,-0.243813326051442,35,26495.0
2019-05-13,10.51009,0.15,2019-06-17,8.82259,-0.16055999520460815,35,80386.0
2019-05-13,10.51009,0.5,2019-09-16,8.57259,-0.1843466611608464,126,45599.0
2019-05-13,10.51009,1.11,2019-09-16,9.57259,-0.08919999733589341,126,102897.0
2019-05-16,10.05759,0.5,2019-06-17,9.82259,-0.023365438440023846,32,2500.0
2019-05-16,10.05759,2.65,2019-12-16,9.57259,-0.048222287844304594,214,91425.0
2019-05-30,12.07509,0.44,2019-06-17,11.07259,-0.08302215552844737,18,1320.0
