date,stock_price,premium,strike_date,strike_price,strike_margin,time_to_expire_days,volume_traded
2018-01-02,18.79,0.7,2018-01-15,19.0,0.01117615753060143,13,381.0
2018-01-02,18.79,0.93,2018-02-19,18.5,-0.015433741351782819,48,465.0
2018-01-03,18.55,0.42,2018-01-15,18.0,-0.029649595687331574,12,162.0
2018-01-03,18.55,0.91,2018-01-15,19.0,0.024258760107816673,12,446.0
2018-01-04,18.43,0.44,2018-01-15,18.0,-0.023331524688008667,11,44.0
2018-01-04,18.43,0.97,2018-01-15,19.0,0.030927835051546407,11,97.0
2018-01-04,18.43,1.07,2018-02-19,18.0,-0.023331524688008667,46,1355.0
2018-01-04,18.43,1.42,2018-02-19,19.0,0.030927835051546407,46,710.0
2018-01-05,18.26,1.02,2018-02-19,18.0,-0.014238773274917937,45,102.0
2018-01-08,18.38,0.38,2018-01-15,18.0,-0.02067464635473335,7,38.0
2018-01-08,18.38,0.98,2018-01-15,19.0,0.03373231773667035,7,196.0
2018-01-08,18.38,1.03,2018-02-19,18.0,-0.02067464635473335,42,206.0
2018-01-09,17.65,1.25,2018-02-19,18.0,0.01983002832861198,41,244.0
2018-01-09,17.65,1.77,2018-02-19,19.0,0.07648725212464598,41,177.0
2018-01-10,16.94,1.44,2018-03-19,17.0,0.003541912632821648,68,862.0
2018-01-10,16.94,2.04,2018-03-19,18.0,0.06257378984651704,68,1950408.0
2018-01-10,16.94,1.1,2018-02-19,17.0,0.003541912632821648,40,3195.0
2018-01-10,16.94,1.61,2018-02-19,18.0,0.06257378984651704,40,585.0
2018-01-11,17.2,0.6,2018-02-19,16.0,-0.06976744186046507,39,240.0
2018-01-11,17.2,0.94,2018-03-19,16.0,-0.06976744186046507,67,940.0
2018-01-11,17.2,1.44,2018-03-19,17.0,-0.011627906976744146,67,422.0
2018-01-12,16.81,1.13,2018-03-19,16.25,-0.03331350386674591,66,678002.0
2018-01-12,16.81,2.0,2018-03-19,17.75,0.055919095776323695,66,200.0
2018-01-12,16.81,1.01,2018-03-19,16.0,-0.04818560380725751,66,508998.0
2018-01-12,16.81,0.9,2018-03-19,15.75,-0.06305770374776912,66,90.0
2018-01-12,16.81,1.12,2018-01-15,17.75,0.055919095776323695,3,1219600.0
2018-01-12,16.81,0.64,2018-01-15,17.25,0.026174895895300494,3,192000.0
2018-01-12,16.81,2.01,2018-01-15,19.0,0.1302795954788817,3,1505250.0
2018-01-12,16.81,1.37,2018-01-15,18.0,0.0707911957168353,3,301400.0
2018-01-12,16.81,0.65,2018-02-19,16.0,-0.04818560380725751,38,757.0
2018-01-15,17.03,1.02,2018-03-19,16.0,-0.0604815032295949,63,102.0
2018-01-15,17.03,0.68,2018-02-19,16.0,-0.0604815032295949,35,136.0
2018-01-15,17.03,1.49,2018-03-19,17.0,-0.0017615971814445763,63,149.0
2018-01-16,17.22,1.04,2018-02-19,17.5,0.016260162601626084,34,10400.0
2018-01-17,17.27,0.84,2018-03-19,16.0,-0.07353792704111173,61,84.0
2018-01-18,17.15,0.9,2018-03-19,16.0,-0.06705539358600575,60,90.0
2018-01-18,17.15,1.23,2018-03-19,17.0,-0.008746355685131112,60,3690.0
2018-01-22,18.77,0.24,2018-02-19,16.0,-0.1475759190197123,28,240.0
2018-01-22,18.77,0.36,2018-02-19,17.0,-0.09429941395844431,28,938.0
2018-01-22,18.77,0.62,2018-02-19,18.0,-0.04102290889717632,28,252.0
2018-01-22,18.77,0.54,2018-03-19,17.0,-0.09429941395844431,56,270.0
2018-01-22,18.77,0.93,2018-03-19,18.0,-0.04102290889717632,56,3701.0
2018-01-23,18.13,1.18,2018-03-19,18.0,-0.007170435741864259,55,118.0
2018-01-24,19.55,0.43,2018-02-19,18.0,-0.07928388746803072,26,1591.0
2018-01-24,19.55,0.76,2018-02-19,19.0,-0.028132992327365765,26,2812.0
2018-01-24,19.55,0.33,2018-02-19,17.5,-0.1048593350383632,26,3189.0
2018-01-24,19.55,0.6,2018-02-19,18.5,-0.053708439897698246,26,2220.0
2018-01-24,19.55,0.95,2018-03-19,18.0,-0.07928388746803072,54,1900.0
2018-01-26,20.25,1.45,2018-03-19,20.0,-0.012345679012345678,52,145.0
2018-01-26,20.25,0.4,2018-02-19,18.5,-0.08641975308641975,24,800.0
2018-01-26,20.25,0.95,2018-03-19,19.0,-0.06172839506172839,52,2850.0
2018-01-26,20.25,0.51,2018-02-19,19.0,-0.06172839506172839,24,1887.0
2018-01-26,20.25,1.0,2018-02-19,20.0,-0.012345679012345678,24,100.0
2018-01-30,20.0,0.2,2018-02-19,18.0,-0.1,20,110.0
2018-01-30,20.0,0.52,2018-02-19,19.0,-0.05,20,1247.0
2018-01-31,20.33,0.27,2018-02-19,19.0,-0.06542056074766348,19,836.0
2018-02-01,20.4,0.68,2018-02-19,20.0,-0.019607843137254832,18,4847.0
2018-02-01,20.4,1.21,2018-02-19,21.0,0.029411764705882425,18,25345.0
2018-02-02,19.79,0.42,2018-02-19,19.0,-0.039919151086407235,17,42.0
2018-02-02,19.79,0.83,2018-02-19,20.0,0.010611419909045015,17,1623.0
2018-02-02,19.79,1.33,2018-02-19,21.0,0.06114199090449727,17,133.0
2018-02-05,19.79,1.02,2018-03-19,19.0,-0.039919151086407235,42,3774.0
2018-02-07,21.06,0.47,2018-02-19,21.0,-0.0028490028490027884,12,47.0
2018-02-07,21.06,1.0,2018-03-19,20.0,-0.05033238366571694,40,100.0
2018-02-07,21.06,1.45,2018-03-19,21.0,-0.0028490028490027884,40,145.0
2018-02-08,21.64,0.61,2018-02-19,21.0,-0.029574861367837362,11,118.0
2018-02-09,21.12,1.33,2018-03-19,22.0,0.041666666666666616,38,661.0
2018-02-09,21.12,1.35,2018-03-19,21.0,-0.005681818181818229,38,325.0
2018-02-09,21.12,0.88,2018-03-19,20.0,-0.05303030303030307,38,393.0
