date,stock_price,premium,strike_date,strike_price,strike_margin,time_to_expire_days,volume_traded
2018-01-02,12.97,0.14,2018-01-15,12.45,-0.04009252120277574,13,1762.0
2018-01-02,12.97,0.45,2018-04-16,11.55,-0.10948342328450268,104,22500.0
2018-01-02,12.97,0.3,2018-04-16,11.05,-0.14803392444101773,104,12000.0
2018-01-02,12.97,0.49,2018-03-19,12.2,-0.05936777178103325,76,7350.0
2018-01-02,12.97,0.7,2018-03-19,12.7,-0.02081727062451822,76,10500.0
2018-01-02,12.97,0.32,2018-03-19,11.7,-0.09791827293754829,76,4800.0
2018-01-02,12.97,0.83,2018-03-19,12.95,-0.0015420200462607054,76,12450.0
2018-01-02,12.97,0.3,2018-02-19,12.2,-0.05936777178103325,48,758.0
2018-01-02,12.97,0.97,2018-03-19,13.2,0.01773323053199681,76,14550.0
2018-01-02,12.97,0.07,2018-02-19,10.7,-0.17501927525057837,48,280.0
2018-01-02,12.97,0.21,2018-02-19,11.95,-0.07864302235929077,48,6830.0
2018-01-02,12.97,0.39,2018-02-19,12.45,-0.04009252120277574,48,13045.0
2018-01-02,12.97,0.1,2018-02-19,10.95,-0.15574402467232085,48,718.0
2018-01-02,12.97,0.4,2018-01-15,12.95,-0.0015420200462607054,13,9600.0
2018-01-02,12.97,0.09,2018-01-15,10.7,-0.17501927525057837,13,360.0
2018-01-02,12.97,0.05,2018-01-15,11.95,-0.07864302235929077,13,280.0
2018-01-02,12.97,0.48,2018-02-19,12.7,-0.02081727062451822,48,4880.0
2018-01-03,12.95,0.61,2018-02-19,12.95,0.0,47,8150.0
2018-01-03,12.95,0.01,2018-04-16,8.35,-0.3552123552123552,103,400.0
2018-01-03,12.95,0.05,2018-04-16,6.05,-0.5328185328185328,103,100.0
2018-01-03,12.95,0.25,2018-04-16,10.8,-0.1660231660231659,103,500.0
2018-01-03,12.95,0.3,2018-04-16,11.3,-0.1274131274131273,103,12000.0
2018-01-03,12.95,0.95,2018-03-19,13.45,0.03861003861003861,75,2850.0
2018-01-03,12.95,0.2,2018-02-19,11.95,-0.07722007722007722,47,1300.0
2018-01-03,12.95,0.6,2018-01-15,13.45,0.03861003861003861,12,21871.0
2018-01-03,12.95,0.28,2018-02-19,12.45,-0.03861003861003861,47,9955.0
2018-01-03,12.95,0.14,2018-01-15,12.95,0.0,12,5134.0
2018-01-03,12.95,0.06,2018-01-15,12.2,-0.05791505791505792,12,180.0
