data_pregao,cod_negociacao,especificacao_papel,tipo_mercado,preco_ultimo_negocio,preco_maximo,volume_total_negociado,preco_exercicio,data_vencimento
2018-01-02,ABEVA21,ON,70,1.1,1.1,67588.0,20.66,2018-01-15
2018-01-02,ABEVB71,ON,70,0.45,0.45,490.0,21.57,2018-02-19
2018-01-02,ABEVB51,ON,70,0.78,0.78,7853.0,21.32,2018-02-19
2018-01-02,ABEVB23,ON,70,0.07,0.07,6622.0,22.82,2018-02-19
2018-01-02,ABEVB22,ON,70,0.49,0.49,986415.0,21.82,2018-02-19
2018-01-02,ABEVB21,ON,70,1.21,1.21,93757.0,20.82,2018-02-19
2018-01-02,ABEVA81,ON,70,0.81,0.81,3328.0,20.91,2018-01-15
2018-01-02,ABEVB52,ON,70,0.25,0.25,25.0,22.32,2018-02-19
2018-01-02,ABEVA71,ON,70,0.3,0.3,150.0,21.41,2018-01-15
2018-01-02,ABEVA70,ON,70,1.96,2.0,177278.0,19.66,2018-01-15
2018-01-02,ABEVA61,ON,70,0.61,0.66,194420.0,21.16,2018-01-15
2018-01-02,ABEVA52,ON,70,0.02,0.02,120.0,22.66,2018-01-15
2018-01-02,ABEVA51,ON,70,0.25,0.28,43157.0,21.66,2018-01-15
2018-01-02,ABEVA22,ON,70,0.05,0.05,240.0,22.16,2018-01-15
2018-01-02,ABEVA80,ON,70,1.3,1.3,10400.0,20.41,2018-01-15
2018-01-03,ABEVB23,ON,70,0.17,0.18,732.0,22.82,2018-02-19
2018-01-03,ABEVB24,ON,70,0.03,0.03,228.0,23.82,2018-02-19
2018-01-03,ABEVB50,ON,70,1.9,1.91,19044.0,20.32,2018-02-19
2018-01-03,ABEVB51,ON,70,0.9,0.9,5641.0,21.32,2018-02-19
2018-01-03,ABEVB71,ON,70,0.7,0.7,6650.0,21.57,2018-02-19
2018-01-03,ABEVC20,ON,70,2.18,2.26,15410.0,19.82,2018-03-19
2018-01-03,ABEVB82,ON,70,0.44,0.44,132.0,22.07,2018-02-19
2018-01-03,ABEVG91,ON,70,2.08,2.08,8240752.0,20.83,2018-07-16
2018-01-03,ABEVL243,ON,70,0.69,0.69,69000.0,24.33,2018-12-17
2018-01-03,ABEVB22,ON,70,0.59,0.6,9435.0,21.82,2018-02-19
2018-01-03,ABEVB80,ON,70,2.08,2.08,8240752.0,20.07,2018-02-19
