data_pregao,cod_negociacao,especificacao_papel,tipo_mercado,preco_ultimo_negocio,preco_maximo,volume_total_negociado,preco_exercicio,data_vencimento
2018-01-02,ABEVM21,ON,80,0.05,0.06,1825.0,20.66,2018-01-15
2018-01-02,ABEVM80,ON,80,0.05,0.05,50.0,20.41,2018-01-15
2018-01-02,ABEVM81,ON,80,0.06,0.06,2400.0,20.91,2018-01-15
2018-01-02,ABEVN22,ON,80,0.42,0.46,31044.0,21.82,2018-02-19
2018-01-02,ABEVN71,ON,80,0.3,0.3,7200.0,21.57,2018-02-19
2018-01-03,ABEVX203,ON,80,0.79,0.79,79000.0,20.33,2018-12-17
2018-01-03,ABEVX185,ON,80,0.12,0.12,12000.0,18.58,2018-12-17
2018-01-03,ABEVN71,ON,80,0.26,0.26,390.0,21.57,2018-02-19
2018-01-03,ABEVN22,ON,80,0.33,0.33,2046.0,21.82,2018-02-19
2018-01-03,ABEVN51,ON,80,0.21,0.21,147.0,21.32,2018-02-19
2018-01-03,ABEVM81,ON,80,0.02,0.03,960.0,20.91,2018-01-15
2018-01-03,ABEVM71,ON,80,0.09,0.09,2254.0,21.41,2018-01-15
2018-01-03,ABEVM22,ON,80,0.45,0.45,180.0,22.16,2018-01-15
2018-01-03,ABEVM93,ON,80,1.15,1.15,151230.0,22.91,2018-01-15
2018-01-04,ABEVM51,ON,80,0.18,0.18,640.0,21.66,2018-01-15
2018-01-04,ABEVM71,ON,80,0.12,0.12,3200.0,21.41,2018-01-15
2018-01-04,ABEVM93,ON,80,1.3,1.3,46800.0,22.91,2018-01-15
2018-01-04,ABEVN22,ON,80,0.41,0.41,6150.0,21.82,2018-02-19
2018-01-05,ABEVN21,ON,80,0.11,0.11,176.0,20.82,2018-02-19
2018-01-05,ABEVN52,ON,80,0.78,0.78,1872.0,22.32,2018-02-19
2018-01-05,ABEVM81,ON,80,0.04,0.04,4.0,20.91,2018-01-15
2018-01-05,ABEVM93,ON,80,1.3,1.3,231840.0,22.91,2018-01-15
2018-01-05,ABEVM51,ON,80,0.2,0.2,14760.0,21.66,2018-01-15
2018-01-05,ABEVM22,ON,80,0.55,0.55,110.0,22.16,2018-01-15
2018-01-05,ABEVM71,ON,80,0.12,0.12,144.0,21.41,2018-01-15
2018-01-08,ABEVM51,ON,80,0.19,0.19,19.0,21.66,2018-01-15
2018-01-08,ABEVM61,ON,80,0.04,0.04,1124.0,21.16,2018-01-15
2018-01-08,ABEVM81,ON,80,0.02,0.03,780.0,20.91,2018-01-15
2018-01-08,ABEVM93,ON,80,1.35,1.35,16200.0,22.91,2018-01-15
2018-01-09,ABEVO22,ON,80,0.57,0.57,6840.0,21.82,2018-03-19
2018-01-10,ABEVN21,ON,80,0.14,0.14,392.0,20.82,2018-02-19
2018-01-10,ABEVN20,ON,80,0.05,0.05,500.0,19.82,2018-02-19
2018-01-10,ABEVM81,ON,80,0.02,0.02,120.0,20.91,2018-01-15
2018-01-10,ABEVM71,ON,80,0.05,0.1,660.0,21.41,2018-01-15
