data_pregao,cod_negociacao,especificacao_papel,tipo_mercado,preco_ultimo_negocio,preco_maximo,volume_total_negociado,preco_exercicio,data_vencimento
2018-01-02,ABEV3,ON  EJ,10,21.69,21.75,274813428.0,0.0,99991231
2018-01-03,ABEV3,ON,10,21.74,21.97,205166688.0,0.0,99991231
2018-01-04,ABEV3,ON,10,21.62,21.82,198387189.0,0.0,99991231
2018-01-05,ABEV3,ON,10,21.7,21.75,249393378.0,0.0,99991231
2018-01-08,ABEV3,ON,10,21.66,21.7,152685878.0,0.0,99991231
2018-01-09,ABEV3,ON,10,21.6,21.69,126212113.0,0.0,99991231
2018-01-10,ABEV3,ON,10,21.6,21.72,117417421.0,0.0,99991231
2018-01-11,ABEV3,ON,10,21.85,21.87,188030909.0,0.0,99991231
2018-01-12,ABEV3,ON,10,21.6,21.94,336582723.0,0.0,99991231
2018-01-15,ABEV3,ON,10,21.82,21.85,105751597.0,0.0,99991231
2018-01-16,ABEV3,ON,10,21.9,22.07,201521476.0,0.0,99991231
2018-01-17,ABEV3,ON,10,22.03,22.06,248328597.0,0.0,99991231
2018-01-18,ABEV3,ON,10,21.92,22.08,169058783.0,0.0,99991231
2018-01-19,ABEV3,ON,10,22.0,22.06,235088619.0,0.0,99991231
2018-01-22,ABEV3,ON,10,21.9,21.99,216879998.0,0.0,99991231
2018-01-23,ABEV3,ON,10,21.9,22.0,256760747.0,0.0,99991231
2018-01-24,ABEV3,ON,10,21.89,22.03,462193585.0,0.0,99991231
2018-01-26,ABEV3,ON,10,21.88,21.93,324597774.0,0.0,99991231
2018-01-29,ABEV3,ON,10,21.84,21.85,181291744.0,0.0,99991231
2018-01-30,ABEV3,ON,10,21.87,22.0,264517213.0,0.0,99991231
2018-01-31,ABEV3,ON,10,21.95,22.26,270010818.0,0.0,99991231
2018-02-01,ABEV3,ON  ED,10,22.3,22.52,521631802.0,0.0,99991231
2018-02-02,ABEV3,ON  ED,10,22.080000000000002,22.11,270049711.0,0.0,99991231
2018-02-05,ABEV3,ON  ED,10,21.75,22.0,273758150.0,0.0,99991231
2018-02-06,ABEV3,ON  ED,10,21.69,21.84,409541263.0,0.0,99991231
2018-02-07,ABEV3,ON  ED,10,21.69,22.03,281162227.0,0.0,99991231
2018-02-08,ABEV3,ON  ED,10,21.73,21.92,434945070.0,0.0,99991231
2018-02-09,ABEV3,ON  ED,10,21.56,21.79,369297070.0,0.0,99991231
2018-02-14,ABEV3,ON  ED,10,22.31,22.4,396420111.0,0.0,99991231
