data_pregao,cod_negociacao,especificacao_papel,tipo_mercado,preco_ultimo_negocio,preco_maximo,volume_total_negociado,preco_exercicio,data_vencimento
2018-03-26,B3SA3,ON      NM,10,8.553333333333333,26.1,129461570.0,0.0,99991231
2018-03-27,B3SA3,ON      NM,10,8.53,25.9,94182344.0,0.0,99991231
2018-03-28,B3SA3,ON      NM,10,8.7,26.3,213564537.0,0.0,99991231
2018-03-29,B3SA3,ON      NM,10,8.896666666666667,26.85,199170109.0,0.0,99991231
2018-04-02,B3SA3,ON      NM,10,8.829999999999998,26.7,149024937.0,0.0,99991231
2018-04-03,B3SA3,ON      NM,10,8.816666666666666,26.99,227851810.0,0.0,99991231
2018-04-04,B3SA3,ON      NM,10,8.723333333333333,26.25,163689956.0,0.0,99991231
2018-04-05,B3SA3,ON      NM,10,8.923333333333332,27.15,226370015.0,0.0,99991231
2018-04-06,B3SA3,ON      NM,10,8.936666666666666,26.87,218865100.0,0.0,99991231
2018-04-09,B3SA3,ON      NM,10,8.733333333333333,26.98,168151404.0,0.0,99991231
2018-04-10,B3SA3,ON      NM,10,8.76,26.4,179761250.0,0.0,99991231
2018-04-11,B3SA3,ON      NM,10,8.85,26.59,153570425.0,0.0,99991231
2018-04-12,B3SA3,ON      NM,10,8.963333333333333,27.09,211406841.0,0.0,99991231
2018-04-13,B3SA3,ON      NM,10,8.806666666666667,26.82,279892516.0,0.0,99991231
2018-04-16,B3SA3,ON      NM,10,8.459999999999999,26.52,198414358.0,0.0,99991231
2018-04-17,B3SA3,ON      NM,10,8.556666666666667,25.85,254567539.0,0.0,99991231
2018-04-18,B3SA3,ON      NM,10,8.75,26.67,332133860.0,0.0,99991231
2018-04-19,B3SA3,ON      NM,10,8.686666666666666,26.31,133575444.0,0.0,99991231
2018-04-20,B3SA3,ON      NM,10,8.566666666666666,25.95,145589516.0,0.0,99991231
2018-04-23,B3SA3,ON      NM,10,8.579999999999998,25.74,161684373.0,0.0,99991231
2018-04-24,B3SA3,ON  EJ  NM,10,8.44257,25.95,144043091.0,0.0,99991231
2018-04-25,B3SA3,ON  EJ  NM,10,8.362569999999998,25.26,181462266.0,0.0,99991231
2018-04-26,B3SA3,ON  EJ  NM,10,8.565903333333333,25.73,89494477.0,0.0,99991231
2018-04-27,B3SA3,ON  EJ  NM,10,8.619236666666666,25.99,99693977.0,0.0,99991231
2018-04-30,B3SA3,ON  EJ  NM,10,8.44257,26.0,167505202.0,0.0,99991231
2018-05-02,B3SA3,ON  EJ  NM,10,8.21257,25.1,343386593.0,0.0,99991231
2018-05-03,B3SA3,ON  EJ  NM,10,8.06257,24.69,295483663.0,0.0,99991231
2018-05-04,B3SA3,ON  EJ  NM,10,8.022569999999998,24.44,220585343.0,0.0,99991231
2018-05-07,B3SA3,ON      NM,10,8.002569999999999,24.27,104111542.0,0.0,99991231
2018-05-08,B3SA3,ON      NM,10,7.972569999999999,24.32,146488188.0,0.0,99991231
2018-05-09,B3SA3,ON      NM,10,8.029236666666666,24.15,181818445.0,0.0,99991231
2018-05-10,B3SA3,ON      NM,10,8.235903333333333,24.72,308845241.0,0.0,99991231
2018-05-11,B3SA3,ON      NM,10,7.8759033333333335,24.73,339695701.0,0.0,99991231
2018-05-14,B3SA3,ON      NM,10,7.772569999999999,23.69,350378891.0,0.0,99991231
2018-05-15,B3SA3,ON      NM,10,7.609236666666666,23.11,345189603.0,0.0,99991231
2018-05-16,B3SA3,ON      NM,10,7.702569999999999,23.54,179718457.0,0.0,99991231
2018-05-17,B3SA3,ON      NM,10,7.379236666666666,23.03,419664599.0,0.0,99991231
2018-05-18,B3SA3,ON      NM,10,7.435903333333333,22.28,309447925.0,0.0,99991231
2018-05-21,B3SA3,ON      NM,10,7.392569999999999,22.5,195343222.0,0.0,99991231
2018-05-22,B3SA3,ON      NM,10,7.7925699999999996,23.48,321566687.0,0.0,99991231
2018-05-23,B3SA3,ON      NM,10,7.3759033333333335,23.12,196321867.0,0.0,99991231
2018-05-24,B3SA3,ON      NM,10,7.2092366666666665,22.02,378371816.0,0.0,99991231
2018-05-25,B3SA3,ON      NM,10,7.015903333333332,21.86,444364371.0,0.0,99991231
2018-05-28,B3SA3,ON      NM,10,6.85257,21.0,210751762.0,0.0,99991231
2018-05-29,B3SA3,ON      NM,10,6.9192366666666665,21.74,340836071.0,0.0,99991231
2018-05-30,B3SA3,ON      NM,10,7.265903333333332,21.9,458509990.0,0.0,99991231
2018-06-01,B3SA3,ON      NM,10,7.425903333333332,22.63,432476270.0,0.0,99991231
2018-06-04,B3SA3,ON      NM,10,7.615903333333333,23.07,408627329.0,0.0,99991231
2018-06-05,B3SA3,ON      NM,10,7.382569999999999,22.83,356891669.0,0.0,99991231
2018-06-06,B3SA3,ON      NM,10,7.145903333333333,22.08,245984469.0,0.0,99991231
2018-06-07,B3SA3,ON      NM,10,6.675903333333332,21.1,765914525.0,0.0,99991231
2018-06-08,B3SA3,ON      NM,10,6.955903333333333,21.26,481951886.0,0.0,99991231
2018-06-11,B3SA3,ON      NM,10,6.815903333333333,21.33,149449675.0,0.0,99991231
2018-06-12,B3SA3,ON      NM,10,7.009236666666666,21.24,323648498.0,0.0,99991231
2018-06-13,B3SA3,ON      NM,10,6.899236666666667,21.04,280292997.0,0.0,99991231
2018-06-14,B3SA3,ON      NM,10,6.725903333333332,20.91,338637177.0,0.0,99991231
2018-06-15,B3SA3,ON      NM,10,6.605903333333332,20.09,469694636.0,0.0,99991231
2018-06-18,B3SA3,ON      NM,10,6.41257,19.67,203404006.0,0.0,99991231
2018-06-19,B3SA3,ON      NM,10,6.652569999999999,20.23,494487953.0,0.0,99991231
2018-06-20,B3SA3,ON      NM,10,6.60257,20.34,174503044.0,0.0,99991231
2018-06-21,B3SA3,ON      NM,10,6.53257,19.87,170430690.0,0.0,99991231
2018-06-22,B3SA3,ON      NM,10,6.665903333333333,19.98,169214614.0,0.0,99991231
2018-06-25,B3SA3,ON      NM,10,6.905903333333333,21.04,250462324.0,0.0,99991231
2018-06-26,B3SA3,ON      NM,10,6.889236666666666,20.95,237022801.0,0.0,99991231
2018-06-27,B3SA3,ON      NM,10,6.742569999999999,20.62,175496750.0,0.0,99991231
2018-06-28,B3SA3,ON  EJ  NM,10,6.870118333333332,20.56,155871795.0,0.0,99991231
2018-06-29,B3SA3,ON  EJ  NM,10,6.846784999999999,20.88,200100400.0,0.0,99991231
2018-07-02,B3SA3,ON  EJ  NM,10,6.910118333333333,20.7,73718010.0,0.0,99991231
2018-07-03,B3SA3,ON  EJ  NM,10,6.993451666666666,21.38,132156818.0,0.0,99991231
2018-07-04,B3SA3,ON  EJ  NM,10,7.076784999999999,21.15,57143720.0,0.0,99991231
2018-07-05,B3SA3,ON  EJ  NM,10,7.033451666666666,21.18,136925139.0,0.0,99991231
2018-07-06,B3SA3,ON  EJ  NM,10,7.280118333333332,21.97,168283763.0,0.0,99991231
2018-07-10,B3SA3,ON  EJ  NM,10,7.486784999999999,22.59,759809050.0,0.0,99991231
2018-07-11,B3SA3,ON      NM,10,7.490118333333332,22.65,264276311.0,0.0,99991231
2018-07-12,B3SA3,ON      NM,10,7.716784999999999,23.14,216983427.0,0.0,99991231
2018-07-13,B3SA3,ON      NM,10,7.970118333333333,23.82,240379398.0,0.0,99991231
2018-07-16,B3SA3,ON      NM,10,7.863451666666666,23.8,326366808.0,0.0,99991231
2018-07-17,B3SA3,ON      NM,10,8.010118333333333,24.27,323580158.0,0.0,99991231
2018-07-18,B3SA3,ON      NM,10,7.770118333333333,24.0,226885765.0,0.0,99991231
2018-07-19,B3SA3,ON      NM,10,7.730118333333333,23.1,392856513.0,0.0,99991231
2018-07-20,B3SA3,ON      NM,10,7.780118333333332,24.0,270764935.0,0.0,99991231
2018-07-23,B3SA3,ON      NM,10,7.6934516666666655,23.14,189514129.0,0.0,99991231
2018-07-24,B3SA3,ON      NM,10,7.7767849999999985,23.45,137811802.0,0.0,99991231
2018-07-25,B3SA3,ON      NM,10,7.956785,24.21,218789750.0,0.0,99991231
2018-07-26,B3SA3,ON      NM,10,7.880118333333333,24.08,124345096.0,0.0,99991231
2018-07-27,B3SA3,ON      NM,10,7.913451666666665,23.88,78896452.0,0.0,99991231
2018-07-30,B3SA3,ON      NM,10,7.946784999999999,23.98,129303265.0,0.0,99991231
2018-07-31,B3SA3,ON      NM,10,7.960118333333332,23.79,169038274.0,0.0,99991231
2018-08-01,B3SA3,ON      NM,10,7.920118333333333,23.96,162493729.0,0.0,99991231
2018-08-02,B3SA3,ON      NM,10,8.063451666666666,24.47,170158324.0,0.0,99991231
2018-08-03,B3SA3,ON      NM,10,8.346784999999999,25.07,287759302.0,0.0,99991231
2018-08-06,B3SA3,ON      NM,10,8.270118333333333,25.1,149109066.0,0.0,99991231
2018-08-07,B3SA3,ON      NM,10,8.030118333333332,24.94,224962365.0,0.0,99991231
2018-08-08,B3SA3,ON      NM,10,7.840118333333333,24.29,385662425.0,0.0,99991231
2018-08-09,B3SA3,ON      NM,10,7.783451666666666,23.54,357182786.0,0.0,99991231
