data_pregao,cod_negociacao,especificacao_papel,tipo_mercado,preco_ultimo_negocio,preco_maximo,volume_total_negociado,preco_exercicio,data_vencimento
2018-01-02,BBAS3,ON      NM,10,32.93,32.93,300320795.0,0.0,99991231
2018-01-03,BBAS3,ON      NM,10,33.35,33.42,271479816.0,0.0,99991231
2018-01-04,BBAS3,ON      NM,10,33.67,33.96,325419136.0,0.0,99991231
2018-01-05,BBAS3,ON      NM,10,33.67,33.9,177069431.0,0.0,99991231
2018-01-08,BBAS3,ON      NM,10,33.75,33.75,172545631.0,0.0,99991231
2018-01-09,BBAS3,ON      NM,10,33.43,33.8,195449066.0,0.0,99991231
2018-01-10,BBAS3,ON      NM,10,33.29,33.59,169259424.0,0.0,99991231
2018-01-11,BBAS3,ON      NM,10,34.05,34.22,327374210.0,0.0,99991231
2018-01-12,BBAS3,ON      NM,10,34.13,34.16,259491824.0,0.0,99991231
2018-01-15,BBAS3,ON      NM,10,34.3,34.45,179991255.0,0.0,99991231
2018-01-16,BBAS3,ON      NM,10,34.6,34.69,214882762.0,0.0,99991231
2018-01-17,BBAS3,ON      NM,10,35.42,35.57,424601641.0,0.0,99991231
2018-01-18,BBAS3,ON      NM,10,35.18,35.58,331878355.0,0.0,99991231
2018-01-19,BBAS3,ON      NM,10,34.95,35.8,286782188.0,0.0,99991231
2018-01-22,BBAS3,ON      NM,10,35.07,35.2,221007401.0,0.0,99991231
2018-01-23,BBAS3,ON      NM,10,35.2,35.49,622321014.0,0.0,99991231
2018-01-24,BBAS3,ON      NM,10,37.99,37.99,1026047547.0,0.0,99991231
2018-01-26,BBAS3,ON      NM,10,39.17,39.5,944495887.0,0.0,99991231
2018-01-29,BBAS3,ON      NM,10,38.95,39.2,518908935.0,0.0,99991231
2018-01-30,BBAS3,ON      NM,10,38.8,38.95,419368264.0,0.0,99991231
2018-01-31,BBAS3,ON      NM,10,39.68,40.1,508715403.0,0.0,99991231
2018-02-01,BBAS3,ON      NM,10,39.79,40.05,437962997.0,0.0,99991231
2018-02-02,BBAS3,ON      NM,10,39.25,39.59,330401025.0,0.0,99991231
2018-02-05,BBAS3,ON      NM,10,38.08,39.41,234408041.0,0.0,99991231
2018-02-06,BBAS3,ON      NM,10,39.75,40.08,506599222.0,0.0,99991231
2018-02-07,BBAS3,ON      NM,10,39.79,40.61,560455954.0,0.0,99991231
2018-02-08,BBAS3,ON      NM,10,38.54,40.22,497278309.0,0.0,99991231
2018-02-09,BBAS3,ON      NM,10,37.82,38.79,382167470.0,0.0,99991231
