data_pregao,cod_negociacao,especificacao_papel,tipo_mercado,preco_ultimo_negocio,preco_maximo,volume_total_negociado,preco_exercicio,data_vencimento
2018-01-02,BBDC4,PN  EJ  N1,10,34.6,34.8,290520837.0,0.0,99991231
2018-01-03,BBDC4,PN  EJ  N1,10,34.757000000000005,35.03,191443021.0,0.0,99991231
2018-01-04,BBDC4,PN  EJ  N1,10,35.327000000000005,35.55,338234610.0,0.0,99991231
2018-01-05,BBDC4,PN  EJ  N1,10,35.527,35.51,232816762.0,0.0,99991231
2018-01-08,BBDC4,PN  EJ  N1,10,35.517,35.59,229144167.0,0.0,99991231
2018-01-09,BBDC4,PN  EJ  N1,10,35.187000000000005,35.5,196385702.0,0.0,99991231
2018-01-10,BBDC4,PN  EJ  N1,10,34.817,35.13,310545408.0,0.0,99991231
2018-01-11,BBDC4,PN  EJ  N1,10,35.517,35.5,225557082.0,0.0,99991231
2018-01-12,BBDC4,PN  EJ  N1,10,35.517,35.54,176028226.0,0.0,99991231
2018-01-15,BBDC4,PN      N1,10,35.767,35.75,222966164.0,0.0,99991231
2018-01-16,BBDC4,PN      N1,10,36.007000000000005,36.2,269287374.0,0.0,99991231
2018-01-17,BBDC4,PN      N1,10,36.907000000000004,36.89,270780349.0,0.0,99991231
2018-01-18,BBDC4,PN      N1,10,36.867000000000004,37.15,326648199.0,0.0,99991231
2018-01-19,BBDC4,PN      N1,10,37.127,37.24,404644746.0,0.0,99991231
2018-01-22,BBDC4,PN      N1,10,37.637,37.67,329338668.0,0.0,99991231
2018-01-23,BBDC4,PN      N1,10,37.767,38.32,817241833.0,0.0,99991231
2018-01-24,BBDC4,PN      N1,10,39.817,39.8,813802692.0,0.0,99991231
2018-01-26,BBDC4,PN      N1,10,41.217000000000006,41.22,791603600.0,0.0,99991231
2018-01-29,BBDC4,PN      N1,10,40.017,40.92,486711566.0,0.0,99991231
2018-01-30,BBDC4,PN      N1,10,40.417,40.4,491963174.0,0.0,99991231
2018-01-31,BBDC4,PN      N1,10,40.767,41.97,748396888.0,0.0,99991231
2018-02-01,BBDC4,PN      N1,10,39.687000000000005,40.5,965386652.0,0.0,99991231
2018-02-02,BBDC4,PN  EJ  N1,10,38.45400000000001,39.28,769339009.0,0.0,99991231
2018-02-05,BBDC4,PN  EJ  N1,10,37.834,39.26,435539918.0,0.0,99991231
2018-02-06,BBDC4,PN  EJ  N1,10,38.73400000000001,38.9,1222116402.0,0.0,99991231
2018-02-07,BBDC4,PN  EJ  N1,10,38.154,38.99,521285878.0,0.0,99991231
2018-02-08,BBDC4,PN  EJ  N1,10,37.684000000000005,38.87,459657769.0,0.0,99991231
2018-02-09,BBDC4,PN  EJ  N1,10,37.254000000000005,37.9,508085918.0,0.0,99991231
2018-02-14,BBDC4,PN  EJ  N1,10,38.614000000000004,38.63,555062455.0,0.0,99991231
2018-02-15,BBDC4,PN  EJ  N1,10,38.77400000000001,39.14,262855668.0,0.0,99991231
2018-02-16,BBDC4,PN      N1,10,38.70400000000001,38.9,278564700.0,0.0,99991231
2018-02-19,BBDC4,PN      N1,10,38.514,38.94,209424417.0,0.0,99991231
2018-02-20,BBDC4,PN      N1,10,39.684000000000005,39.68,450543543.0,0.0,99991231
2018-02-21,BBDC4,PN      N1,10,39.894000000000005,40.75,884087227.0,0.0,99991231
2018-02-22,BBDC4,PN      N1,10,40.13400000000001,40.5,368685040.0,0.0,99991231
2018-02-23,BBDC4,PN      N1,10,40.504000000000005,40.47,345592374.0,0.0,99991231
2018-02-26,BBDC4,PN      N1,10,40.504000000000005,40.77,308735757.0,0.0,99991231
2018-02-27,BBDC4,PN      N1,10,40.06400000000001,40.53,272445696.0,0.0,99991231
2018-02-28,BBDC4,PN      N1,10,38.80400000000001,40.03,722843617.0,0.0,99991231
2018-03-01,BBDC4,PN      N1,10,39.02400000000001,39.52,366031027.0,0.0,99991231
2018-03-02,BBDC4,PN  EJ  N1,10,39.27100000000001,39.22,288421284.0,0.0,99991231
2018-03-05,BBDC4,PN  EJ  N1,10,39.531000000000006,39.65,279665414.0,0.0,99991231
2018-03-06,BBDC4,PN  EJ  N1,10,39.601000000000006,40.05,311125505.0,0.0,99991231
2018-03-07,BBDC4,PN  EJ  N1,10,38.90100000000001,39.59,341571396.0,0.0,99991231
2018-03-08,BBDC4,PN  EJ  N1,10,38.39100000000001,39.28,382594361.0,0.0,99991231
2018-03-09,BBDC4,PN  EJ  N1,10,39.211000000000006,39.16,411538673.0,0.0,99991231
2018-03-12,BBDC4,PN  EJ  N1,10,39.52100000000001,39.48,258286482.0,0.0,99991231
2018-03-13,BBDC4,PN  EJ  N1,10,38.95100000000001,39.65,313763647.0,0.0,99991231
2018-03-14,BBDC4,PN      N1,10,38.74100000000001,39.09,291317225.0,0.0,99991231
2018-03-15,BBDC4,PN      N1,10,38.18100000000001,38.8,508450545.0,0.0,99991231
2018-03-16,BBDC4,PN      N1,10,38.281000000000006,38.68,742756260.0,0.0,99991231
2018-03-19,BBDC4,PN      N1,10,37.89100000000001,38.36,363071273.0,0.0,99991231
2018-03-20,BBDC4,PN      N1,10,37.851000000000006,38.1,271844841.0,0.0,99991231
2018-03-21,BBDC4,PN      N1,10,38.04100000000001,38.31,425520171.0,0.0,99991231
2018-03-22,BBDC4,PN      N1,10,38.27100000000001,38.53,389218827.0,0.0,99991231
2018-03-23,BBDC4,PN      N1,10,38.531000000000006,38.96,415191039.0,0.0,99991231
2018-03-26,BBDC4,PN      N1,10,38.75100000000001,39.09,318215240.0,0.0,99991231
2018-03-27,BBDC4,PN      N1,10,38.281000000000006,38.95,219698142.0,0.0,99991231
2018-03-28,BBDC4,PN      N1,10,38.531000000000006,38.64,271535849.0,0.0,99991231
2018-03-29,BBDC4,PN      N1,10,39.55100000000001,39.68,605295260.0,0.0,99991231
2018-04-02,BBDC4,PN  EB  N1,10,35.63100000000001,36.07,290450805.0,0.0,99991231
2018-04-03,BBDC4,PN  EJB N1,10,36.02800000000001,36.42,488673848.0,0.0,99991231
2018-04-04,BBDC4,PN  EJB N1,10,35.71800000000001,35.82,283789757.0,0.0,99991231
2018-04-05,BBDC4,PN  EJB N1,10,35.82800000000001,36.57,864680658.0,0.0,99991231
2018-04-06,BBDC4,PN  EJB N1,10,35.71800000000001,35.95,310901139.0,0.0,99991231
2018-04-09,BBDC4,PN  EJB N1,10,34.36800000000001,35.65,398000882.0,0.0,99991231
2018-04-10,BBDC4,PN  EJB N1,10,34.658000000000015,34.8,432962514.0,0.0,99991231
2018-04-11,BBDC4,PN  EJB N1,10,35.46800000000001,35.45,298159491.0,0.0,99991231
2018-04-12,BBDC4,PN  EJ  N1,10,34.82800000000001,35.4,629401766.0,0.0,99991231
2018-04-13,BBDC4,PN      N1,10,34.06800000000001,34.61,377745558.0,0.0,99991231
2018-04-16,BBDC4,PN      N1,10,33.32800000000001,34.16,334063793.0,0.0,99991231
2018-04-17,BBDC4,PN      N1,10,33.74800000000001,33.82,310886993.0,0.0,99991231
2018-04-18,BBDC4,PN      N1,10,34.878000000000014,34.94,841125979.0,0.0,99991231
2018-04-19,BBDC4,PN      N1,10,34.81800000000001,34.8,412766037.0,0.0,99991231
2018-04-20,BBDC4,PN      N1,10,34.32800000000001,34.72,257263352.0,0.0,99991231
2018-04-23,BBDC4,PN      N1,10,34.31800000000001,34.25,194339491.0,0.0,99991231
2018-04-24,BBDC4,PN      N1,10,34.378000000000014,34.72,243509020.0,0.0,99991231
