data_pregao,cod_negociacao,tipo_mercado,preco_abertura,preco_ultimo_negocio,volume_total_negociado,preco_exercicio,data_vencimento
2018-01-02,BOVAA69,70,5.98,6.35,37354.0,69.0,2018-01-15
2018-01-02,BOVAB76,70,1.57,1.92,43397.0,76.0,2018-02-19
2018-01-02,BOVAB75,70,2.01,2.43,21491.8,75.0,2018-02-19
2018-01-02,BOVAB74,70,2.65,2.98,19741.0,74.0,2018-02-19
2018-01-02,BOVAB72,70,4.28,4.42,83152.0,72.0,2018-02-19
2018-01-02,BOVAA76,70,0.5,0.65,2416.3,76.0,2018-01-15
2018-01-02,BOVAB73,70,3.29,3.75,65695.0,73.0,2018-02-19
2018-01-02,BOVAA74,70,1.19,1.75,65164.6,74.0,2018-01-15
2018-01-02,BOVAA73,70,1.88,2.43,57330.0,73.0,2018-01-15
2018-01-02,BOVAA72,70,2.95,3.2,7112.5,72.0,2018-01-15
2018-01-02,BOVAA71,70,4.09,4.09,3272.0,71.0,2018-01-15
2018-01-02,BOVAA70,70,5.14,5.32,45254.0,70.0,2018-01-15
2018-01-02,BOVAA75,70,0.85,1.11,9895.0,75.0,2018-01-15
2018-01-03,BOVAB28,70,1.14,0.73,1094.0,78.0,2018-02-19
2018-01-03,BOVAB76,70,2.05,2.03,26792.0,76.0,2018-02-19
2018-01-03,BOVAB75,70,2.58,2.63,34509.0,75.0,2018-02-19
2018-01-03,BOVAB72,70,4.63,4.63,7408.0,72.0,2018-02-19
2018-01-03,BOVAB37,70,1.65,1.65,5775.0,77.0,2018-02-19
2018-01-03,BOVAA81,70,0.02,0.02,211.0,81.0,2018-01-15
2018-01-03,BOVAB74,70,3.26,3.15,122230.0,74.0,2018-02-19
2018-01-03,BOVAA76,70,0.71,0.67,1868.0,76.0,2018-01-15
2018-01-03,BOVAA75,70,1.22,1.19,15317.0,75.0,2018-01-15
2018-01-03,BOVAA74,70,1.84,1.83,59347.0,74.0,2018-01-15
2018-01-03,BOVAA73,70,2.75,2.82,19297.0,73.0,2018-01-15
2018-01-03,BOVAA70,70,5.61,5.61,10659.0,70.0,2018-01-15
2018-01-03,BOVAA79,70,0.06,0.06,633.0,79.0,2018-01-15
2018-01-04,BOVAL87,70,4.56,4.56,7752.0,87.0,2018-12-17
2018-01-04,BOVAC80,70,1.62,1.62,648.0,80.0,2018-03-19
2018-01-04,BOVAB76,70,2.38,2.35,47904.0,76.0,2018-02-19
2018-01-04,BOVAB75,70,2.74,2.74,9590.0,75.0,2018-02-19
2018-01-04,BOVAB74,70,3.63,3.5,127765.0,74.0,2018-02-19
2018-01-04,BOVAB73,70,4.38,4.38,17958.0,73.0,2018-02-19
2018-01-04,BOVAB37,70,1.83,1.83,6405.0,77.0,2018-02-19
2018-01-04,BOVAB28,70,1.3,1.45,11994.5,78.0,2018-02-19
2018-01-04,BOVAA78,70,0.19,0.19,1963.3,78.0,2018-01-15
2018-01-04,BOVAA76,70,0.9,0.99,21470.0,76.0,2018-01-15
2018-01-04,BOVAA75,70,1.4,1.58,35755.0,75.0,2018-01-15
2018-01-04,BOVAA74,70,2.18,2.1,64600.8,74.0,2018-01-15
2018-01-04,BOVAA73,70,3.2,3.33,18760.0,73.0,2018-01-15
2018-01-04,BOVAA71,70,5.15,5.15,5150.0,71.0,2018-01-15
2018-01-04,BOVAA70,70,6.0,6.5,7400.0,70.0,2018-01-15
2018-01-04,BOVAA77,70,0.42,0.43,7574.0,77.0,2018-01-15
2018-01-05,BOVAB28,70,1.34,1.42,14701.0,78.0,2018-02-19
2018-01-05,BOVAB76,70,2.23,2.34,41732.0,76.0,2018-02-19
2018-01-05,BOVAB75,70,2.68,3.01,16446.9,75.0,2018-02-19
2018-01-05,BOVAB73,70,4.2,4.3,109280.0,73.0,2018-02-19
2018-01-05,BOVAB37,70,1.63,1.82,11949.0,77.0,2018-02-19
2018-01-05,BOVAA78,70,0.22,0.18,2022.0,78.0,2018-01-15
2018-01-05,BOVAB74,70,3.36,3.36,1377.6,74.0,2018-02-19
2018-01-05,BOVAA76,70,0.73,0.88,21110.0,76.0,2018-01-15
2018-01-05,BOVAA75,70,1.6,1.53,48380.0,75.0,2018-01-15
2018-01-05,BOVAA74,70,2.1,2.38,39036.0,74.0,2018-01-15
2018-01-05,BOVAA73,70,3.09,3.1,77450.0,73.0,2018-01-15
2018-01-05,BOVAA77,70,0.4,0.46,11200.0,77.0,2018-01-15
2018-01-05,BOVAA72,70,3.78,3.78,756.0,72.0,2018-01-15
2018-01-05,BOVAA71,70,5.36,5.36,10720.0,71.0,2018-01-15
2018-01-08,BOVAB79,70,0.98,0.98,98.0,79.0,2018-02-19
2018-01-08,BOVAB76,70,2.37,2.38,16468.5,76.0,2018-02-19
2018-01-08,BOVAB75,70,2.94,2.91,127630.0,75.0,2018-02-19
2018-01-08,BOVAB28,70,1.29,1.29,4515.0,78.0,2018-02-19
2018-01-08,BOVAA78,70,0.15,0.16,2300.0,78.0,2018-01-15
2018-01-08,BOVAA76,70,0.94,0.94,3290.0,76.0,2018-01-15
2018-01-08,BOVAA75,70,1.56,1.56,5460.0,75.0,2018-01-15
