data_pregao,cod_negociacao,especificacao_papel,tipo_mercado,preco_ultimo_negocio,preco_maximo,volume_total_negociado,preco_exercicio,data_vencimento
2018-01-02,BOVA11,CI,10,75.1,75.23,171400637.0,0.0,99991231
2018-01-03,BOVA11,CI,10,75.3,75.77,283925612.4,0.0,99991231
2018-01-04,BOVA11,CI,10,76.0,76.44,170925746.3,0.0,99991231
2018-01-05,BOVA11,CI,10,76.44,76.44,174095917.7,0.0,99991231
2018-01-08,BOVA11,CI,10,76.76,76.76,194469354.8,0.0,99991231
2018-01-09,BOVA11,CI,10,76.16,76.92,272249519.5,0.0,99991231
2018-01-10,BOVA11,CI,10,75.6,75.9,232691206.5,0.0,99991231
2018-01-11,BOVA11,CI,10,76.66,76.66,180232927.2,0.0,99991231
2018-01-12,BOVA11,CI,10,76.67,76.75,107458576.8,0.0,99991231
2018-01-15,BOVA11,CI,10,77.07,77.1,110603153.3,0.0,99991231
2018-01-16,BOVA11,CI,10,77.06,77.5,121245665.6,0.0,99991231
2018-01-17,BOVA11,CI,10,78.41,78.42,176453398.6,0.0,99991231
2018-01-18,BOVA11,CI,10,78.1,78.58,169242116.0,0.0,99991231
2018-01-19,BOVA11,CI,10,78.42,78.65,92739636.4,0.0,99991231
2018-01-22,BOVA11,CI,10,78.84,79.39,65923610.0,0.0,99991231
2018-01-23,BOVA11,CI,10,77.8,78.81,206998358.6,0.0,99991231
2018-01-24,BOVA11,CI,10,80.83,80.83,463715813.9,0.0,99991231
2018-01-26,BOVA11,CI,10,82.65,82.65,345697177.4,0.0,99991231
2018-01-29,BOVA11,CI,10,81.78,82.5,175599797.4,0.0,99991231
2018-01-30,BOVA11,CI,10,81.61,81.74,162225220.6,0.0,99991231
2018-01-31,BOVA11,CI,10,82.0,83.22,381288244.0,0.0,99991231
2018-02-01,BOVA11,CI,10,82.55,83.1,358696276.3,0.0,99991231
2018-02-02,BOVA11,CI,10,81.24,82.15,184403606.3,0.0,99991231
2018-02-05,BOVA11,CI,10,79.2,81.47,226706130.4,0.0,99991231
2018-02-06,BOVA11,CI,10,81.15,81.3,352314879.1,0.0,99991231
2018-02-07,BOVA11,CI,10,79.96,81.52,233089600.8,0.0,99991231
2018-02-08,BOVA11,CI,10,78.7,80.64,205081447.1,0.0,99991231
2018-02-09,BOVA11,CI,10,78.17,79.1,257859482.2,0.0,99991231
2018-02-14,BOVA11,CI,10,80.6,80.86,130022913.5,0.0,99991231
2018-02-15,BOVA11,CI,10,81.4,81.75,182799332.0,0.0,99991231
2018-02-16,BOVA11,CI,10,81.56,81.79,245249410.3,0.0,99991231
2018-02-19,BOVA11,CI,10,81.86,82.4,128256856.0,0.0,99991231
2018-02-20,BOVA11,CI,10,82.94,83.34,285303312.9,0.0,99991231
2018-02-21,BOVA11,CI,10,83.04,84.39,303351664.1,0.0,99991231
2018-02-22,BOVA11,CI,10,83.75,84.18,260885464.9,0.0,99991231
2018-02-23,BOVA11,CI,10,84.29,84.29,337836795.3,0.0,99991231
2018-02-26,BOVA11,CI,10,84.72,85.32,235883472.2,0.0,99991231
2018-02-27,BOVA11,CI,10,84.09,84.86,155305392.7,0.0,99991231
2018-02-28,BOVA11,CI,10,82.5,84.21,386325636.3,0.0,99991231
2018-03-01,BOVA11,CI,10,82.52,83.37,288113799.8,0.0,99991231
2018-03-02,BOVA11,CI,10,82.95,82.95,231248020.8,0.0,99991231
2018-03-05,BOVA11,CI,10,82.9,83.29,147942271.8,0.0,99991231
2018-03-06,BOVA11,CI,10,82.69,84.0,221464657.3,0.0,99991231
2018-03-07,BOVA11,CI,10,82.6,82.75,167617492.8,0.0,99991231
2018-03-08,BOVA11,CI,10,82.14,83.0,129186838.9,0.0,99991231
2018-03-09,BOVA11,CI,10,83.4,83.45,113070799.5,0.0,99991231
2018-03-12,BOVA11,CI,10,83.95,84.1,280970520.2,0.0,99991231
2018-03-13,BOVA11,CI,10,83.5,84.49,218671392.9,0.0,99991231
