data_pregao,cod_negociacao,especificacao_papel,tipo_mercado,preco_ultimo_negocio,preco_maximo,volume_total_negociado,preco_exercicio,data_vencimento
2018-10-03,BPACJ20,UNT,70,0.56,0.56,56.0,5.035785,2018-10-15
2018-10-04,BPACJ20,UNT,70,0.39,0.39,39.0,5.035785,2018-10-15
2019-05-16,BPACL432,UNT,70,2.65,2.65,91425.0,10.88509,2019-12-16
2019-06-06,BPACJ51,UNT,70,1.8,1.8,10800.0,12.82259,2019-10-21
2019-06-07,BPACI53,UNT,70,1.85,1.86,402812.0,13.32259,2019-09-16
2019-06-28,BPACH50,UNT     N2,70,2.09,2.09,4180.0,12.57259,2019-08-19
2019-07-11,BPACJ650,UNT     N2,70,1.4,1.4,140000.0,16.32259,2019-10-21
2019-07-15,BPACH580,UNT     N2,70,2.3,2.3,87860.0,14.57259,2019-08-19
2019-07-15,BPACH610,UNT     N2,70,1.2,1.2,45840.0,15.32259,2019-08-19
2019-07-15,BPACI65,UNT     N2,70,1.24,1.24,271118.0,16.32259,2019-09-16
2019-07-23,BPACH460,UNT     N2,70,11.0,11.0,1100.0,11.57259,2019-08-19
2019-07-25,BPACH460,UNT     N2,70,11.0,11.0,1100.0,11.57259,2019-08-19
2019-07-29,BPACH580,UNT     N2,70,0.8,0.8,52000.0,14.57259,2019-08-19
2019-07-29,BPACH610,UNT     N2,70,0.4,0.4,26000.0,15.32259,2019-08-19
2019-07-30,BPACH580,UNT     N2,70,1.81,1.81,71824.0,14.57259,2019-08-19
2019-07-30,BPACH610,UNT     N2,70,0.59,0.6,29348.0,15.32259,2019-08-19
2019-08-06,BPACH605,UNT     N2,70,3.29,3.42,2764000.0,15.19759,2019-08-19
2019-08-07,BPACH605,UNT     N2,70,3.49,3.49,2422000.0,15.19759,2019-08-19
2019-08-07,BPACI630,UNT     N2,70,2.9,2.9,232000.0,15.82259,2019-09-16
2019-08-07,BPACI660,UNT     N2,70,1.6,1.6,128000.0,16.57259,2019-09-16
