data_pregao,cod_negociacao,especificacao_papel,tipo_mercado,preco_ultimo_negocio,preco_maximo,volume_total_negociado,preco_exercicio,data_vencimento
2018-09-19,BPACM20,UNT,80,0.88,0.88,7040.0,5.035785,2019-01-21
2018-09-19,BPACV20,UNT,80,0.31,0.31,930.0,5.035785,2018-10-15
2018-09-19,BPACW20,UNT,80,0.72,0.72,3600.0,5.035785,2018-11-19
2018-09-19,BPACX201,UNT,80,0.91,0.91,6370.0,5.080785,2018-12-17
2018-10-22,BPACW20,UNT,80,0.38,0.38,760.0,5.035785,2018-11-19
2018-10-22,BPACX201,UNT,80,0.7,0.7,1400.0,5.080785,2018-12-17
2018-11-19,BPACX201,UNT,80,0.17,0.17,1500.0,5.080785,2018-12-17
2019-01-15,BPACN241,UNT,80,0.14,0.14,840.0,6.11259,2019-02-18
2019-01-15,BPACM251,UNT,80,0.09,0.09,340.0,6.36259,2019-01-21
2019-02-19,BPACO329,UNT,80,0.39,0.39,1910.0,8.300089999999999,2019-03-18
2019-02-19,BPACP327,UNT,80,1.0,1.0,7780.0,8.26009,2019-04-15
2019-02-26,BPACP287,UNT,80,0.55,0.55,67844.0,7.26009,2019-04-15
2019-03-15,BPACP327,UNT,80,0.77,0.77,5390.0,8.26009,2019-04-15
2019-03-15,BPACP330,UNT,80,0.78,0.88,1660.0,8.32259,2019-04-15
2019-03-19,BPACP327,UNT,80,0.12,0.17,710.0,8.26009,2019-04-15
2019-03-26,BPACQ330,UNT,80,0.57,0.57,4830.0,8.32259,2019-05-20
2019-04-04,BPACR315,UNT,80,0.15,0.16,84888.0,7.94759,2019-06-17
2019-04-04,BPACR350,UNT,80,0.8,0.8,432000.0,8.82259,2019-06-17
2019-04-12,BPACQ330,UNT,80,0.22,0.22,1000.0,8.32259,2019-05-20
2019-05-10,BPACU340,UNT,80,0.7,0.7,369145.0,8.57259,2019-09-16
2019-05-10,BPACU380,UNT,80,1.9,1.9,1007000.0,9.57259,2019-09-16
2019-05-13,BPACR315,UNT,80,0.05,0.05,26495.0,7.94759,2019-06-17
2019-05-13,BPACR350,UNT,80,0.15,0.16,80386.0,8.82259,2019-06-17
2019-05-13,BPACU340,UNT,80,0.5,0.5,45599.0,8.57259,2019-09-16
2019-05-13,BPACU380,UNT,80,1.11,1.11,102897.0,9.57259,2019-09-16
2019-05-16,BPACR39,UNT,80,0.5,0.5,2500.0,9.82259,2019-06-17
2019-05-16,BPACX380,UNT,80,2.65,2.65,91425.0,9.57259,2019-12-16
2019-05-30,BPACR44,UNT,80,0.44,0.44,1320.0,11.07259,2019-06-17
2019-06-03,BPACU340,UNT,80,0.2,0.2,44000.0,8.57259,2019-09-16
2019-06-03,BPACU380,UNT,80,0.44,0.45,97702.0,9.57259,2019-09-16
2019-06-04,BPACS42,UNT,80,0.54,0.54,2160.0,10.57259,2019-07-15
2019-06-05,BPACS42,UNT,80,0.78,0.78,6240.0,10.57259,2019-07-15
2019-06-06,BPACV43,UNT,80,1.2,1.2,7200.0,10.82259,2019-10-21
2019-06-06,BPACV457,UNT,80,2.85,2.85,17100.0,11.51009,2019-10-21
2019-06-07,BPACU340,UNT,80,0.2,0.2,43460.0,8.57259,2019-09-16
2019-06-07,BPACU380,UNT,80,0.3,0.3,130380.0,9.57259,2019-09-16
2019-06-07,BPACU455,UNT,80,2.1,2.1,456510.0,11.44759,2019-09-16
2019-06-17,BPACS45,UNT     N2,80,0.43,0.43,4300.0,11.32259,2019-07-15
2019-06-21,BPACT480,UNT     N2,80,1.39,1.39,5560.0,12.07259,2019-08-19
2019-06-21,BPACT470,UNT     N2,80,1.04,1.04,4160.0,11.82259,2019-08-19
2019-06-21,BPACT460,UNT     N2,80,0.8,0.8,3200.0,11.57259,2019-08-19
2019-06-21,BPACS470,UNT     N2,80,0.38,0.38,1520.0,11.82259,2019-07-15
2019-06-21,BPACS460,UNT     N2,80,0.24,0.24,960.0,11.57259,2019-07-15
2019-06-21,BPACS480,UNT     N2,80,0.63,0.63,2520.0,12.07259,2019-07-15
2019-06-25,BPACS50,UNT     N2,80,1.82,1.82,91000.0,12.57259,2019-07-15
2019-07-05,BPACT525,UNT     N2,80,1.01,1.01,10100.0,13.19759,2019-08-19
2019-07-15,BPACT570,UNT     N2,80,1.69,1.69,64558.0,14.32259,2019-08-19
2019-07-15,BPACU55,UNT     N2,80,2.19,2.2,481801.0,13.82259,2019-09-16
2019-07-15,BPACT52,UNT     N2,80,0.35,0.35,13370.0,13.07259,2019-08-19
2019-07-15,BPACU50,UNT     N2,80,0.58,0.7,127612.0,12.57259,2019-09-16
2019-07-22,BPACU53,UNT     N2,80,1.1,1.1,3300.0,13.32259,2019-09-16
2019-07-22,BPACT53,UNT     N2,80,0.58,0.58,3480.0,13.32259,2019-08-19
2019-07-22,BPACT54,UNT     N2,80,0.7,0.7,4200.0,13.57259,2019-08-19
2019-07-22,BPACT55,UNT     N2,80,0.97,0.97,4850.0,13.82259,2019-08-19
2019-07-22,BPACT56,UNT     N2,80,1.3,1.3,9100.0,14.07259,2019-08-19
2019-07-22,BPACU54,UNT     N2,80,1.38,1.38,4140.0,13.57259,2019-09-16
2019-07-29,BPACT52,UNT     N2,80,0.5,0.5,32500.0,13.07259,2019-08-19
2019-07-29,BPACT570,UNT     N2,80,2.18,2.18,141700.0,14.32259,2019-08-19
