data_pregao,cod_negociacao,especificacao_papel,tipo_mercado,preco_ultimo_negocio,preco_maximo,volume_total_negociado,preco_exercicio,data_vencimento
2018-01-02,BPAC11,UNT,10,4.725,19.44,25803058.0,0.0,99991231
2018-01-03,BPAC11,UNT,10,4.77,19.3,15650197.0,0.0,99991231
2018-01-04,BPAC11,UNT,10,4.7875,19.4,82523647.0,0.0,99991231
2018-01-05,BPAC11,UNT EJ,10,4.6925,18.8,3193315.0,0.0,99991231
2018-01-08,BPAC11,UNT EJ,10,4.75,19.07,5386007.0,0.0,99991231
2018-01-09,BPAC11,UNT EJ,10,4.7175,19.09,2554760.0,0.0,99991231
2018-01-10,BPAC11,UNT EJ,10,4.685,18.94,1122032.0,0.0,99991231
2018-01-11,BPAC11,UNT EJ,10,4.675,18.9,1552676.0,0.0,99991231
2018-01-12,BPAC11,UNT EJ,10,4.6875,18.89,3186455.0,0.0,99991231
2018-01-15,BPAC11,UNT EJ,10,4.75,19.0,1304174.0,0.0,99991231
2018-01-16,BPAC11,UNT EJ,10,4.7125,18.99,4688843.0,0.0,99991231
2018-01-17,BPAC11,UNT,10,4.875,19.5,36894575.0,0.0,99991231
2018-01-18,BPAC11,UNT,10,4.925,20.05,6447271.0,0.0,99991231
2018-01-19,BPAC11,UNT,10,5.0475,20.48,10053377.0,0.0,99991231
2018-01-22,BPAC11,UNT,10,5.1725,20.99,16217827.0,0.0,99991231
2018-01-23,BPAC11,UNT,10,5.25,21.29,5909906.0,0.0,99991231
2018-01-24,BPAC11,UNT,10,5.35,21.8,37448064.0,0.0,99991231
2018-01-26,BPAC11,UNT,10,5.5,22.0,15318506.0,0.0,99991231
2018-01-29,BPAC11,UNT,10,5.4375,21.98,1608578.0,0.0,99991231
2018-01-30,BPAC11,UNT,10,5.275,21.84,91545285.0,0.0,99991231
2018-01-31,BPAC11,UNT,10,5.2875,21.77,6317685.0,0.0,99991231
2018-02-01,BPAC11,UNT,10,5.2875,21.8,11750231.0,0.0,99991231
2018-02-02,BPAC11,UNT,10,5.25,21.43,7607257.0,0.0,99991231
2018-02-05,BPAC11,UNT,10,5.24,21.47,2956470.0,0.0,99991231
2018-02-06,BPAC11,UNT,10,5.175,21.04,12578455.0,0.0,99991231
2018-02-07,BPAC11,UNT,10,5.4125,22.3,34937488.0,0.0,99991231
2018-02-08,BPAC11,UNT,10,5.4125,22.79,16129980.0,0.0,99991231
2018-02-09,BPAC11,UNT,10,5.3275,21.82,13954146.0,0.0,99991231
2018-02-14,BPAC11,UNT,10,5.5875,22.44,13215073.0,0.0,99991231
2018-02-15,BPAC11,UNT,10,5.6625,22.85,24894176.0,0.0,99991231
2018-02-16,BPAC11,UNT,10,5.65,22.88,8062388.0,0.0,99991231
2018-02-19,BPAC11,UNT,10,5.6625,22.72,2313764.0,0.0,99991231
2018-02-20,BPAC11,UNT,10,5.6375,22.8,5089739.0,0.0,99991231
2018-02-21,BPAC11,UNT,10,5.7,23.0,18359986.0,0.0,99991231
2018-02-22,BPAC11,UNT,10,5.725,23.13,15185101.0,0.0,99991231
2018-02-23,BPAC11,UNT,10,5.775,23.1,65724676.0,0.0,99991231
2018-02-26,BPAC11,UNT,10,5.7825,23.2,8226338.0,0.0,99991231
2018-02-27,BPAC11,UNT,10,5.8125,23.72,7326494.0,0.0,99991231
2018-02-28,BPAC11,UNT,10,5.76,23.25,11161211.0,0.0,99991231
2018-03-01,BPAC11,UNT,10,5.75,23.23,25450243.0,0.0,99991231
2018-03-02,BPAC11,UNT,10,5.65,22.95,30636596.0,0.0,99991231
2018-03-05,BPAC11,UNT,10,5.6125,22.66,10740457.0,0.0,99991231
2018-03-06,BPAC11,UNT,10,5.5825,22.69,12533550.0,0.0,99991231
2018-03-07,BPAC11,UNT,10,5.65,23.28,12216274.0,0.0,99991231
2018-03-08,BPAC11,UNT,10,5.7225,22.99,15412104.0,0.0,99991231
2018-03-09,BPAC11,UNT,10,5.74,22.99,10259782.0,0.0,99991231
2018-03-12,BPAC11,UNT,10,5.7375,22.95,20281108.0,0.0,99991231
2018-03-13,BPAC11,UNT,10,5.65,22.91,6001125.0,0.0,99991231
2018-03-14,BPAC11,UNT,10,5.5,22.53,11658331.0,0.0,99991231
2018-03-15,BPAC11,UNT,10,5.45,21.96,3407870.0,0.0,99991231
2018-03-16,BPAC11,UNT,10,5.55,22.2,39304734.0,0.0,99991231
2018-03-19,BPAC11,UNT,10,5.625,22.68,3933078.0,0.0,99991231
2018-03-20,BPAC11,UNT,10,5.6,22.47,1911646.0,0.0,99991231
2018-03-21,BPAC11,UNT,10,5.5875,22.47,6497972.0,0.0,99991231
2018-03-22,BPAC11,UNT,10,5.55,22.55,9309208.0,0.0,99991231
2018-03-23,BPAC11,UNT,10,5.5725,22.48,25237672.0,0.0,99991231
2018-03-26,BPAC11,UNT,10,5.67,22.74,1490999.0,0.0,99991231
