data_pregao,cod_negociacao,especificacao_papel,tipo_mercado,preco_ultimo_negocio,preco_maximo,volume_total_negociado,preco_exercicio,data_vencimento
2018-01-02,ELETA19,ON      N1,70,0.78,0.91,979.0,19.0,2018-01-15
2018-01-02,ELETA21,ON      N1,70,0.17,0.17,31.0,21.0,2018-01-15
2018-01-02,ELETB20,ON      N1,70,1.03,1.12,6766.0,20.0,2018-02-19
2018-01-03,ELETA19,ON      N1,70,0.46,0.52,5982.0,19.0,2018-01-15
2018-01-03,ELETB19,ON      N1,70,1.33,1.33,266.0,19.0,2018-02-19
2018-01-04,ELETA19,ON      N1,70,0.43,0.43,3776.0,19.0,2018-01-15
2018-01-04,ELETA48,ON      N1,70,0.51,0.51,1275.0,18.5,2018-01-15
2018-01-04,ELETB19,ON      N1,70,1.2,1.2,946.0,19.0,2018-02-19
2018-01-04,ELETB20,ON      N1,70,0.71,0.79,4065.0,20.0,2018-02-19
2018-01-05,ELETB20,ON      N1,70,0.74,0.74,3700.0,20.0,2018-02-19
2018-01-05,ELETB18,ON      N1,70,1.6,1.6,160.0,18.0,2018-02-19
2018-01-05,ELETA18,ON      N1,70,0.9,0.9,90.0,18.0,2018-01-15
2018-01-05,ELETA19,ON      N1,70,0.35,0.35,175.0,19.0,2018-01-15
2018-01-08,ELETA19,ON      N1,70,0.25,0.25,25.0,19.0,2018-01-15
2018-01-08,ELETB18,ON      N1,70,1.55,1.55,305.0,18.0,2018-02-19
2018-01-09,ELETB48,ON      N1,70,0.97,0.98,4109.0,18.5,2018-02-19
2018-01-10,ELETC23,ON      N1,70,0.35,0.35,343500.0,23.0,2018-03-19
2018-01-10,ELETC27,ON      N1,70,0.11,0.11,110000.0,27.0,2018-03-19
2018-01-10,ELETC19,ON      N1,70,0.98,0.98,98.0,19.0,2018-03-19
2018-01-10,ELETB47,ON      N1,70,0.86,1.14,200.0,17.5,2018-02-19
2018-01-10,ELETB19,ON      N1,70,0.39,0.61,15510.0,19.0,2018-02-19
2018-01-10,ELETB18,ON      N1,70,0.99,0.99,990.0,18.0,2018-02-19
2018-01-10,ELETC18,ON      N1,70,1.12,1.4,5620.0,18.0,2018-03-19
2018-01-11,ELETC18,ON      N1,70,1.21,1.21,121.0,18.0,2018-03-19
