data_pregao,cod_negociacao,especificacao_papel,tipo_mercado,preco_ultimo_negocio,preco_maximo,volume_total_negociado,preco_exercicio,data_vencimento
2018-01-02,ELETM19,ON      N1,80,0.7,0.7,381.0,19.0,2018-01-15
2018-01-02,ELETN48,ON      N1,80,0.93,0.93,465.0,18.5,2018-02-19
2018-01-03,ELETM18,ON      N1,80,0.42,0.42,162.0,18.0,2018-01-15
2018-01-03,ELETM19,ON      N1,80,0.91,0.91,446.0,19.0,2018-01-15
2018-01-04,ELETM18,ON      N1,80,0.44,0.44,44.0,18.0,2018-01-15
2018-01-04,ELETM19,ON      N1,80,0.97,0.97,97.0,19.0,2018-01-15
2018-01-04,ELETN18,ON      N1,80,1.07,1.07,1355.0,18.0,2018-02-19
2018-01-04,ELETN19,ON      N1,80,1.42,1.42,710.0,19.0,2018-02-19
2018-01-05,ELETN18,ON      N1,80,1.02,1.02,102.0,18.0,2018-02-19
2018-01-08,ELETM18,ON      N1,80,0.38,0.38,38.0,18.0,2018-01-15
2018-01-08,ELETM19,ON      N1,80,0.98,0.98,196.0,19.0,2018-01-15
2018-01-08,ELETN18,ON      N1,80,1.03,1.03,206.0,18.0,2018-02-19
2018-01-09,ELETN18,ON      N1,80,1.25,1.25,244.0,18.0,2018-02-19
2018-01-09,ELETN19,ON      N1,80,1.77,1.77,177.0,19.0,2018-02-19
2018-01-10,ELETO17,ON      N1,80,1.44,1.44,862.0,17.0,2018-03-19
2018-01-10,ELETO18,ON      N1,80,2.04,2.04,1950408.0,18.0,2018-03-19
2018-01-10,ELETN17,ON      N1,80,1.1,1.1,3195.0,17.0,2018-02-19
2018-01-10,ELETN18,ON      N1,80,1.61,1.61,585.0,18.0,2018-02-19
2018-01-11,ELETN16,ON      N1,80,0.6,0.6,240.0,16.0,2018-02-19
2018-01-11,ELETO16,ON      N1,80,0.94,0.94,940.0,16.0,2018-03-19
2018-01-11,ELETO17,ON      N1,80,1.44,1.44,422.0,17.0,2018-03-19
2018-01-12,ELETO68,ON      N1,80,1.13,1.15,678002.0,16.25,2018-03-19
2018-01-12,ELETO177,ON      N1,80,2.0,2.0,200.0,17.75,2018-03-19
2018-01-12,ELETO16,ON      N1,80,1.01,1.04,508998.0,16.0,2018-03-19
2018-01-12,ELETO157,ON      N1,80,0.9,0.9,90.0,15.75,2018-03-19
2018-01-12,ELETM83,ON      N1,80,1.12,1.12,1219600.0,17.75,2018-01-15
2018-01-12,ELETM87,ON      N1,80,0.64,0.64,192000.0,17.25,2018-01-15
2018-01-12,ELETM19,ON      N1,80,2.01,2.01,1505250.0,19.0,2018-01-15
2018-01-12,ELETM18,ON      N1,80,1.37,1.37,301400.0,18.0,2018-01-15
2018-01-12,ELETN16,ON      N1,80,0.65,0.65,757.0,16.0,2018-02-19
2018-01-15,ELETO16,ON      N1,80,1.02,1.02,102.0,16.0,2018-03-19
2018-01-15,ELETN16,ON      N1,80,0.68,0.68,136.0,16.0,2018-02-19
2018-01-15,ELETO17,ON      N1,80,1.49,1.49,149.0,17.0,2018-03-19
2018-01-16,ELETN47,ON      N1,80,1.04,1.04,10400.0,17.5,2018-02-19
2018-01-17,ELETO16,ON      N1,80,0.84,0.84,84.0,16.0,2018-03-19
2018-01-18,ELETO16,ON      N1,80,0.9,0.9,90.0,16.0,2018-03-19
2018-01-18,ELETO17,ON      N1,80,1.23,1.23,3690.0,17.0,2018-03-19
2018-01-22,ELETN16,ON      N1,80,0.24,0.24,240.0,16.0,2018-02-19
2018-01-22,ELETN17,ON      N1,80,0.36,0.4,938.0,17.0,2018-02-19
2018-01-22,ELETN18,ON      N1,80,0.62,0.66,252.0,18.0,2018-02-19
2018-01-22,ELETO17,ON      N1,80,0.54,0.54,270.0,17.0,2018-03-19
2018-01-22,ELETO18,ON      N1,80,0.93,1.0,3701.0,18.0,2018-03-19
2018-01-23,ELETO18,ON      N1,80,1.18,1.18,118.0,18.0,2018-03-19
2018-01-24,ELETN18,ON      N1,80,0.43,0.43,1591.0,18.0,2018-02-19
2018-01-24,ELETN19,ON      N1,80,0.76,0.76,2812.0,19.0,2018-02-19
2018-01-24,ELETN47,ON      N1,80,0.33,0.33,3189.0,17.5,2018-02-19
2018-01-24,ELETN48,ON      N1,80,0.6,0.6,2220.0,18.5,2018-02-19
2018-01-24,ELETO18,ON      N1,80,0.95,0.95,1900.0,18.0,2018-03-19
2018-01-26,ELETO20,ON      N1,80,1.45,1.45,145.0,20.0,2018-03-19
2018-01-26,ELETN48,ON      N1,80,0.4,0.4,800.0,18.5,2018-02-19
2018-01-26,ELETO19,ON      N1,80,0.95,0.95,2850.0,19.0,2018-03-19
2018-01-26,ELETN19,ON      N1,80,0.51,0.51,1887.0,19.0,2018-02-19
2018-01-26,ELETN20,ON      N1,80,1.0,1.0,100.0,20.0,2018-02-19
2018-01-30,ELETN18,ON      N1,80,0.2,0.3,110.0,18.0,2018-02-19
2018-01-30,ELETN19,ON      N1,80,0.52,0.52,1247.0,19.0,2018-02-19
2018-01-31,ELETN19,ON      N1,80,0.27,0.27,836.0,19.0,2018-02-19
2018-02-01,ELETN20,ON      N1,80,0.68,0.68,4847.0,20.0,2018-02-19
2018-02-01,ELETN21,ON      N1,80,1.21,1.21,25345.0,21.0,2018-02-19
2018-02-02,ELETN19,ON      N1,80,0.42,0.42,42.0,19.0,2018-02-19
