data_pregao,cod_negociacao,especificacao_papel,tipo_mercado,preco_ultimo_negocio,preco_maximo,volume_total_negociado,preco_exercicio,data_vencimento
2018-01-02,ELET3,ON      N1,10,18.79,19.63,52442879.0,0.0,99991231
2018-01-03,ELET3,ON      N1,10,18.55,18.87,27218358.0,0.0,99991231
2018-01-04,ELET3,ON      N1,10,18.43,18.68,46690444.0,0.0,99991231
2018-01-05,ELET3,ON      N1,10,18.26,18.61,32480740.0,0.0,99991231
2018-01-08,ELET3,ON      N1,10,18.38,18.5,24283078.0,0.0,99991231
2018-01-09,ELET3,ON      N1,10,17.65,18.44,55150561.0,0.0,99991231
2018-01-10,ELET3,ON      N1,10,16.94,17.77,68022491.0,0.0,99991231
2018-01-11,ELET3,ON      N1,10,17.2,17.4,34047299.0,0.0,99991231
2018-01-12,ELET3,ON      N1,10,16.81,17.37,50410730.0,0.0,99991231
2018-01-15,ELET3,ON      N1,10,17.03,17.15,28336740.0,0.0,99991231
2018-01-16,ELET3,ON      N1,10,17.22,17.61,56347425.0,0.0,99991231
2018-01-17,ELET3,ON      N1,10,17.27,17.43,32870446.0,0.0,99991231
2018-01-18,ELET3,ON      N1,10,17.15,17.41,28578341.0,0.0,99991231
2018-01-19,ELET3,ON      N1,10,17.5,17.77,34859391.0,0.0,99991231
2018-01-22,ELET3,ON      N1,10,18.77,19.47,174094371.0,0.0,99991231
2018-01-23,ELET3,ON      N1,10,18.13,18.94,41210400.0,0.0,99991231
2018-01-24,ELET3,ON      N1,10,19.55,19.6,98183876.0,0.0,99991231
2018-01-26,ELET3,ON      N1,10,20.25,20.27,97068359.0,0.0,99991231
2018-01-29,ELET3,ON      N1,10,20.22,20.47,35020921.0,0.0,99991231
2018-01-30,ELET3,ON      N1,10,20.0,20.31,44838395.0,0.0,99991231
2018-01-31,ELET3,ON      N1,10,20.33,20.88,58416276.0,0.0,99991231
2018-02-01,ELET3,ON      N1,10,20.4,20.83,56016703.0,0.0,99991231
2018-02-02,ELET3,ON      N1,10,19.79,20.35,67788576.0,0.0,99991231
2018-02-05,ELET3,ON      N1,10,19.79,20.3,47722832.0,0.0,99991231
2018-02-06,ELET3,ON      N1,10,20.89,21.0,61652961.0,0.0,99991231
2018-02-07,ELET3,ON      N1,10,21.06,21.99,72948941.0,0.0,99991231
2018-02-08,ELET3,ON      N1,10,21.64,22.02,81453121.0,0.0,99991231
2018-02-09,ELET3,ON      N1,10,21.12,22.77,167975111.0,0.0,99991231
2018-02-14,ELET3,ON      N1,10,21.53,21.8,46029280.0,0.0,99991231
2018-02-15,ELET3,ON      N1,10,21.44,21.99,31497832.0,0.0,99991231
2018-02-16,ELET3,ON      N1,10,21.45,21.6,30887444.0,0.0,99991231
2018-02-19,ELET3,ON      N1,10,21.42,21.71,14524356.0,0.0,99991231
2018-02-20,ELET3,ON      N1,10,22.88,23.06,124932896.0,0.0,99991231
2018-02-21,ELET3,ON      N1,10,23.35,24.84,279289782.0,0.0,99991231
2018-02-22,ELET3,ON      N1,10,23.89,24.4,104401311.0,0.0,99991231
2018-02-23,ELET3,ON      N1,10,24.9,24.9,84279798.0,0.0,99991231
2018-02-26,ELET3,ON      N1,10,24.46,25.5,66056926.0,0.0,99991231
2018-02-27,ELET3,ON      N1,10,24.9,25.55,70396172.0,0.0,99991231
2018-02-28,ELET3,ON      N1,10,24.77,25.17,106228420.0,0.0,99991231
2018-03-01,ELET3,ON      N1,10,24.17,24.97,73973730.0,0.0,99991231
2018-03-02,ELET3,ON      N1,10,24.71,24.71,42197999.0,0.0,99991231
2018-03-05,ELET3,ON      N1,10,24.67,25.1,42467110.0,0.0,99991231
2018-03-06,ELET3,ON      N1,10,24.4,25.02,64869434.0,0.0,99991231
2018-03-07,ELET3,ON      N1,10,23.65,24.49,59846072.0,0.0,99991231
2018-03-08,ELET3,ON      N1,10,23.23,23.85,81160257.0,0.0,99991231
2018-03-09,ELET3,ON      N1,10,23.9,23.98,63002922.0,0.0,99991231
2018-03-12,ELET3,ON      N1,10,24.88,24.91,48612444.0,0.0,99991231
2018-03-13,ELET3,ON      N1,10,24.48,25.0,65670872.0,0.0,99991231
2018-03-14,ELET3,ON      N1,10,22.8,24.54,117082975.0,0.0,99991231
2018-03-15,ELET3,ON      N1,10,22.7,23.31,57366275.0,0.0,99991231
2018-03-16,ELET3,ON      N1,10,22.31,23.0,57487748.0,0.0,99991231
2018-03-19,ELET3,ON      N1,10,22.24,22.44,48749181.0,0.0,99991231
2018-03-20,ELET3,ON      N1,10,22.15,22.56,46679371.0,0.0,99991231
2018-03-21,ELET3,ON      N1,10,21.45,22.28,76354691.0,0.0,99991231
2018-03-22,ELET3,ON      N1,10,21.36,21.99,67436405.0,0.0,99991231
2018-03-23,ELET3,ON      N1,10,21.18,21.65,57591426.0,0.0,99991231
2018-03-26,ELET3,ON      N1,10,22.75,22.75,33479487.0,0.0,99991231
2018-03-27,ELET3,ON      N1,10,22.17,22.98,32274387.0,0.0,99991231
2018-03-28,ELET3,ON      N1,10,21.11,21.89,46787563.0,0.0,99991231
2018-03-29,ELET3,ON      N1,10,21.0,21.59,66905110.0,0.0,99991231
2018-04-02,ELET3,ON      N1,10,20.93,21.15,69528093.0,0.0,99991231
2018-04-03,ELET3,ON      N1,10,21.3,21.8,49690193.0,0.0,99991231
2018-04-04,ELET3,ON      N1,10,21.62,21.62,38190525.0,0.0,99991231
2018-04-05,ELET3,ON      N1,10,22.35,22.44,38168209.0,0.0,99991231
