data_pregao,cod_negociacao,especificacao_papel,tipo_mercado,preco_ultimo_negocio,preco_maximo,volume_total_negociado,preco_exercicio,data_vencimento
2018-01-02,GGBRA12,PN      N1,70,0.65,0.65,71593.0,12.45,2018-01-15
2018-01-02,GGBRK83,PN      N1,70,1.7,1.7,340.0,13.22,2018-11-19
2018-01-02,GGBRD44,PN      N1,70,0.35,0.45,17750.0,14.95,2018-04-16
2018-01-02,GGBRD32,PN      N1,70,1.25,1.25,52550.0,12.55,2018-04-16
2018-01-02,GGBRC43,PN      N1,70,0.53,0.53,7950.0,13.45,2018-03-19
2018-01-02,GGBRC42,PN      N1,70,1.12,1.12,15276.0,12.45,2018-03-19
2018-01-02,GGBRC39,PN      N1,70,0.4,0.4,20480.0,13.95,2018-03-19
2018-01-02,GGBRC32,PN      N1,70,0.85,0.85,12750.0,12.7,2018-03-19
2018-01-02,GGBRC132,PN      N1,70,0.62,0.62,9300.0,13.2,2018-03-19
2018-01-02,GGBRC13,PN      N1,70,0.73,0.73,10950.0,12.95,2018-03-19
2018-01-02,GGBRB62,PN      N1,70,0.7,0.7,1750.0,12.7,2018-02-19
2018-01-02,GGBRB42,PN      N1,70,0.52,0.52,520.0,12.95,2018-02-19
2018-01-02,GGBRC14,PN      N1,70,0.21,0.21,10500.0,14.45,2018-03-19
2018-01-02,GGBRB33,PN      N1,70,0.43,0.43,4920.0,13.45,2018-02-19
2018-01-02,GGBRB41,PN      N1,70,1.15,1.15,1785.0,11.95,2018-02-19
2018-01-02,GGBRA2,PN      N1,70,1.08,1.08,52211.0,11.95,2018-01-15
2018-01-02,GGBRA3,PN      N1,70,0.2,0.2,1205.0,13.2,2018-01-15
2018-01-02,GGBRA43,PN      N1,70,0.04,0.04,400.0,13.95,2018-01-15
2018-01-02,GGBRA6,PN      N1,70,0.78,0.78,3870.0,12.2,2018-01-15
2018-01-02,GGBRA13,PN      N1,70,0.15,0.15,17906.0,13.45,2018-01-15
2018-01-02,GGBRA63,PN      N1,70,0.31,0.34,34000.0,12.95,2018-01-15
2018-01-02,GGBRB14,PN      N1,70,0.2,0.2,8720.0,14.45,2018-02-19
2018-01-02,GGBRB32,PN      N1,70,0.92,0.93,29739.0,12.45,2018-02-19
2018-01-02,GGBRA61,PN      N1,70,1.35,1.35,3237.0,11.45,2018-01-15
2018-01-03,GGBRB42,PN      N1,70,0.85,0.87,6915.0,12.95,2018-02-19
2018-01-03,GGBRD63,PN      N1,70,0.9,0.9,1940.0,13.7,2018-04-16
2018-01-03,GGBRD44,PN      N1,70,0.49,0.49,9800.0,14.95,2018-04-16
2018-01-03,GGBRD42,PN      N1,70,1.68,1.72,20240.0,12.05,2018-04-16
2018-01-03,GGBRD32,PN      N1,70,1.49,1.49,14900.0,12.55,2018-04-16
2018-01-03,GGBRC62,PN      N1,70,1.45,1.45,4350.0,12.2,2018-03-19
2018-01-03,GGBRC42,PN      N1,70,1.45,1.45,4350.0,12.45,2018-03-19
2018-01-03,GGBRC13,PN      N1,70,1.01,1.01,404.0,12.95,2018-03-19
2018-01-03,GGBRB62,PN      N1,70,1.0,1.0,950.0,12.7,2018-02-19
2018-01-03,GGBRB33,PN      N1,70,0.5,0.63,26078.0,13.45,2018-02-19
2018-01-03,GGBRA43,PN      N1,70,0.06,0.1,260.0,13.95,2018-01-15
2018-01-03,GGBRB14,PN      N1,70,0.25,0.3,5952.0,14.45,2018-02-19
2018-01-03,GGBRB137,PN      N1,70,0.25,0.25,375.0,13.7,2018-02-19
2018-01-03,GGBRA63,PN      N1,70,0.36,0.52,8811.0,12.95,2018-01-15
2018-01-03,GGBRA61,PN      N1,70,1.77,1.77,1770.0,11.45,2018-01-15
2018-01-03,GGBRA6,PN      N1,70,1.2,1.2,8794.0,12.2,2018-01-15
2018-01-03,GGBRA3,PN      N1,70,0.21,0.26,10608.0,13.2,2018-01-15
2018-01-03,GGBRA2,PN      N1,70,1.2,1.2,2985.0,11.95,2018-01-15
2018-01-03,GGBRA13,PN      N1,70,0.15,0.27,32870.0,13.45,2018-01-15
2018-01-03,GGBRA12,PN      N1,70,0.65,0.96,91034.0,12.45,2018-01-15
2018-01-03,GGBRB32,PN      N1,70,0.98,1.18,8483.0,12.45,2018-02-19
2018-01-04,GGBRB33,PN      N1,70,0.89,0.89,35724.0,13.45,2018-02-19
2018-01-04,GGBRB42,PN      N1,70,1.22,1.3,1405328.0,12.95,2018-02-19
2018-01-04,GGBRB43,PN      N1,70,0.55,0.55,8230.0,13.95,2018-02-19
2018-01-04,GGBRB44,PN      N1,70,0.23,0.34,256441.0,14.95,2018-02-19
2018-01-04,GGBRC13,PN      N1,70,1.3,1.3,3900.0,12.95,2018-03-19
2018-01-04,GGBRD44,PN      N1,70,0.6,0.6,6150.0,14.95,2018-04-16
2018-01-04,GGBRC43,PN      N1,70,1.0,1.14,1709000.0,13.45,2018-03-19
2018-01-04,GGBRC44,PN      N1,70,0.3,0.3,1320.0,14.95,2018-03-19
2018-01-04,GGBRD32,PN      N1,70,1.71,1.71,17100.0,12.55,2018-04-16
2018-01-04,GGBRB32,PN      N1,70,1.51,1.55,49636.0,12.45,2018-02-19
2018-01-04,GGBRC42,PN      N1,70,1.7,1.7,5990.0,12.45,2018-03-19
2018-01-04,GGBRB23,PN      N1,70,1.0,1.0,47813.0,13.2,2018-02-19
2018-01-04,GGBRA43,PN      N1,70,0.21,0.24,5675.0,13.95,2018-01-15
2018-01-04,GGBRB137,PN      N1,70,0.7,0.7,2100.0,13.7,2018-02-19
2018-01-04,GGBRA13,PN      N1,70,0.42,0.5,333744.0,13.45,2018-01-15
2018-01-04,GGBRA14,PN      N1,70,0.11,0.11,3615.0,14.45,2018-01-15
2018-01-04,GGBRA2,PN      N1,70,1.74,1.74,14106.0,11.95,2018-01-15
2018-01-04,GGBRA3,PN      N1,70,0.59,0.59,2486.0,13.2,2018-01-15
2018-01-04,GGBRA12,PN      N1,70,1.25,1.32,52941.0,12.45,2018-01-15
2018-01-04,GGBRA6,PN      N1,70,1.46,1.62,8242.0,12.2,2018-01-15
2018-01-04,GGBRA61,PN      N1,70,2.14,2.2,14066.0,11.45,2018-01-15
2018-01-04,GGBRA63,PN      N1,70,0.81,0.84,94073.0,12.95,2018-01-15
2018-01-04,GGBRA9,PN      N1,70,0.02,0.02,10.0,16.95,2018-01-15
2018-01-04,GGBRB14,PN      N1,70,0.49,0.49,19766.0,14.45,2018-02-19
