data_pregao,cod_negociacao,especificacao_papel,tipo_mercado,preco_ultimo_negocio,preco_maximo,volume_total_negociado,preco_exercicio,data_vencimento
2018-01-02,GGBRM12,PN      N1,80,0.14,0.16,1762.0,12.45,2018-01-15
2018-01-02,GGBRP51,PN      N1,80,0.45,0.45,22500.0,11.55,2018-04-16
2018-01-02,GGBRP31,PN      N1,80,0.3,0.3,12000.0,11.05,2018-04-16
2018-01-02,GGBRO62,PN      N1,80,0.49,0.49,7350.0,12.2,2018-03-19
2018-01-02,GGBRO32,PN      N1,80,0.7,0.7,10500.0,12.7,2018-03-19
2018-01-02,GGBRO31,PN      N1,80,0.32,0.32,4800.0,11.7,2018-03-19
2018-01-02,GGBRO13,PN      N1,80,0.83,0.83,12450.0,12.95,2018-03-19
2018-01-02,GGBRN72,PN      N1,80,0.3,0.32,758.0,12.2,2018-02-19
2018-01-02,GGBRO132,PN      N1,80,0.97,0.97,14550.0,13.2,2018-03-19
2018-01-02,GGBRN60,PN      N1,80,0.07,0.07,280.0,10.7,2018-02-19
2018-01-02,GGBRN41,PN      N1,80,0.21,0.21,6830.0,11.95,2018-02-19
2018-01-02,GGBRN32,PN      N1,80,0.39,0.43,13045.0,12.45,2018-02-19
2018-01-02,GGBRN10,PN      N1,80,0.1,0.11,718.0,10.95,2018-02-19
2018-01-02,GGBRM63,PN      N1,80,0.4,0.47,9600.0,12.95,2018-01-15
2018-01-02,GGBRM40,PN      N1,80,0.09,0.09,360.0,10.7,2018-01-15
2018-01-02,GGBRM2,PN      N1,80,0.05,0.05,280.0,11.95,2018-01-15
2018-01-02,GGBRN62,PN      N1,80,0.48,0.49,4880.0,12.7,2018-02-19
2018-01-03,GGBRN42,PN      N1,80,0.61,0.61,8150.0,12.95,2018-02-19
2018-01-03,GGBRP83,PN      N1,80,0.01,0.01,400.0,8.35,2018-04-16
2018-01-03,GGBRP60,PN      N1,80,0.05,0.05,100.0,6.05,2018-04-16
2018-01-03,GGBRP40,PN      N1,80,0.25,0.25,500.0,10.8,2018-04-16
2018-01-03,GGBRP11,PN      N1,80,0.3,0.3,12000.0,11.3,2018-04-16
2018-01-03,GGBRO43,PN      N1,80,0.95,0.95,2850.0,13.45,2018-03-19
2018-01-03,GGBRN41,PN      N1,80,0.2,0.2,1300.0,11.95,2018-02-19
