data_pregao,cod_negociacao,especificacao_papel,tipo_mercado,preco_ultimo_negocio,preco_maximo,volume_total_negociado,preco_exercicio,data_vencimento
2018-01-02,GGBR4,PN      N1,10,12.97,12.97,109934807.0,0.0,99991231
2018-01-03,GGBR4,PN      N1,10,12.95,13.35,172524257.0,0.0,99991231
2018-01-04,GGBR4,PN      N1,10,13.65,13.78,373718621.0,0.0,99991231
2018-01-05,GGBR4,PN      N1,10,13.48,13.95,232642001.0,0.0,99991231
2018-01-08,GGBR4,PN      N1,10,13.95,13.95,209159769.0,0.0,99991231
2018-01-09,GGBR4,PN      N1,10,14.03,14.27,499698989.0,0.0,99991231
2018-01-10,GGBR4,PN      N1,10,13.84,14.11,257081561.0,0.0,99991231
2018-01-11,GGBR4,PN      N1,10,14.97,14.97,250807851.0,0.0,99991231
2018-01-12,GGBR4,PN      N1,10,14.97,15.38,358618223.0,0.0,99991231
2018-01-15,GGBR4,PN      N1,10,14.82,15.21,109576959.0,0.0,99991231
2018-01-16,GGBR4,PN      N1,10,14.46,15.04,195980459.0,0.0,99991231
2018-01-17,GGBR4,PN      N1,10,15.0,15.03,228148129.0,0.0,99991231
2018-01-18,GGBR4,PN      N1,10,14.54,15.09,149689327.0,0.0,99991231
2018-01-19,GGBR4,PN      N1,10,14.16,14.74,365749764.0,0.0,99991231
2018-01-22,GGBR4,PN      N1,10,13.98,14.33,163191645.0,0.0,99991231
2018-01-23,GGBR4,PN      N1,10,13.71,13.98,305320406.0,0.0,99991231
2018-01-24,GGBR4,PN      N1,10,14.14,14.4,193689646.0,0.0,99991231
2018-01-26,GGBR4,PN      N1,10,14.94,14.94,166700848.0,0.0,99991231
2018-01-29,GGBR4,PN      N1,10,14.62,14.89,136984752.0,0.0,99991231
2018-01-30,GGBR4,PN      N1,10,14.72,14.72,166848023.0,0.0,99991231
2018-01-31,GGBR4,PN      N1,10,14.4,15.18,271710499.0,0.0,99991231
2018-02-01,GGBR4,PN      N1,10,14.62,14.93,191853566.0,0.0,99991231
2018-02-02,GGBR4,PN      N1,10,14.57,14.9,181442603.0,0.0,99991231
2018-02-05,GGBR4,PN      N1,10,13.74,14.57,152075434.0,0.0,99991231
2018-02-06,GGBR4,PN      N1,10,14.57,14.57,180689049.0,0.0,99991231
2018-02-07,GGBR4,PN      N1,10,14.06,14.65,113603722.0,0.0,99991231
2018-02-08,GGBR4,PN      N1,10,13.76,14.34,116718985.0,0.0,99991231
2018-02-09,GGBR4,PN      N1,10,14.03,14.1,156212356.0,0.0,99991231
2018-02-14,GGBR4,PN      N1,10,14.96,14.98,145261313.0,0.0,99991231
2018-02-15,GGBR4,PN      N1,10,15.0,15.2,146506764.0,0.0,99991231
2018-02-16,GGBR4,PN      N1,10,15.93,15.93,347121855.0,0.0,99991231
2018-02-19,GGBR4,PN      N1,10,16.73,16.9,267707630.0,0.0,99991231
2018-02-20,GGBR4,PN      N1,10,16.15,16.67,360939439.0,0.0,99991231
2018-02-21,GGBR4,PN      N1,10,16.3,16.78,318745997.0,0.0,99991231
2018-02-22,GGBR4,PN      N1,10,16.11,16.73,175283234.0,0.0,99991231
2018-02-23,GGBR4,PN      N1,10,16.62,16.65,159202862.0,0.0,99991231
2018-02-26,GGBR4,PN      N1,10,17.03,17.35,210777864.0,0.0,99991231
2018-02-27,GGBR4,PN      N1,10,16.65,17.2,176273789.0,0.0,99991231
2018-02-28,GGBR4,PN      N1,10,16.62,17.34,320253748.0,0.0,99991231
2018-03-01,GGBR4,PN      N1,10,17.15,17.32,454361333.0,0.0,99991231
2018-03-02,GGBR4,PN      N1,10,16.9,17.06,304363492.0,0.0,99991231
2018-03-05,GGBR4,PN      N1,10,17.07,17.25,201149496.0,0.0,99991231
2018-03-06,GGBR4,PN      N1,10,16.32,17.59,299534352.0,0.0,99991231
2018-03-07,GGBR4,PN      N1,10,16.73,16.73,237747116.0,0.0,99991231
2018-03-08,GGBR4,PN      N1,10,16.03,16.68,233627782.0,0.0,99991231
2018-03-09,GGBR4,PN      N1,10,16.13,16.47,247810467.0,0.0,99991231
2018-03-12,GGBR4,PN  ED  N1,10,16.43,16.42,132888746.0,0.0,99991231
2018-03-13,GGBR4,PN  ED  N1,10,16.32,16.7,100908141.0,0.0,99991231
2018-03-14,GGBR4,PN  ED  N1,10,16.080000000000002,16.6,111952622.0,0.0,99991231
2018-03-15,GGBR4,PN  ED  N1,10,15.569999999999999,16.0,244376868.0,0.0,99991231
2018-03-16,GGBR4,PN  ED  N1,10,15.479999999999999,15.73,178096588.0,0.0,99991231
2018-03-19,GGBR4,PN  ED  N1,10,15.059999999999999,15.45,154566574.0,0.0,99991231
2018-03-20,GGBR4,PN  ED  N1,10,15.77,15.88,258491266.0,0.0,99991231
2018-03-21,GGBR4,PN  ED  N1,10,16.01,15.98,166186465.0,0.0,99991231
2018-03-22,GGBR4,PN      N1,10,15.389999999999999,15.95,247795660.0,0.0,99991231
2018-03-23,GGBR4,PN      N1,10,15.12,15.49,150413929.0,0.0,99991231
2018-03-26,GGBR4,PN      N1,10,15.34,15.55,134919518.0,0.0,99991231
2018-03-27,GGBR4,PN      N1,10,15.139999999999999,15.5,103789566.0,0.0,99991231
2018-03-28,GGBR4,PN      N1,10,14.979999999999999,15.02,162034713.0,0.0,99991231
2018-03-29,GGBR4,PN      N1,10,15.53,15.65,101470110.0,0.0,99991231
2018-04-02,GGBR4,PN      N1,10,15.67,15.93,129172260.0,0.0,99991231
2018-04-03,GGBR4,PN      N1,10,15.76,15.87,84623045.0,0.0,99991231
2018-04-04,GGBR4,PN      N1,10,15.379999999999999,15.51,115355294.0,0.0,99991231
2018-04-05,GGBR4,PN      N1,10,16.41,16.4,206381335.0,0.0,99991231
2018-04-06,GGBR4,PN      N1,10,16.16,16.49,150375680.0,0.0,99991231
2018-04-09,GGBR4,PN      N1,10,15.84,16.32,147961927.0,0.0,99991231
2018-04-10,GGBR4,PN      N1,10,16.17,16.27,144939720.0,0.0,99991231
2018-04-11,GGBR4,PN      N1,10,16.05,16.39,116549052.0,0.0,99991231
2018-04-12,GGBR4,PN      N1,10,16.48,16.52,120493532.0,0.0,99991231
2018-04-13,GGBR4,PN      N1,10,16.44,16.73,128697557.0,0.0,99991231
2018-04-16,GGBR4,PN      N1,10,16.39,16.5,160369973.0,0.0,99991231
2018-04-17,GGBR4,PN      N1,10,16.830000000000002,16.86,120256307.0,0.0,99991231
2018-04-18,GGBR4,PN      N1,10,17.37,17.5,183323640.0,0.0,99991231
2018-04-19,GGBR4,PN      N1,10,17.200000000000003,17.49,148858854.0,0.0,99991231
2018-04-20,GGBR4,PN      N1,10,16.98,17.32,109396256.0,0.0,99991231
2018-04-23,GGBR4,PN      N1,10,16.76,17.07,104920122.0,0.0,99991231
2018-04-24,GGBR4,PN      N1,10,16.790000000000003,17.13,108806095.0,0.0,99991231
2018-04-25,GGBR4,PN      N1,10,16.8,16.96,78028837.0,0.0,99991231
2018-04-26,GGBR4,PN      N1,10,17.05,17.16,95732573.0,0.0,99991231
2018-04-27,GGBR4,PN      N1,10,16.71,17.22,171057640.0,0.0,99991231
2018-04-30,GGBR4,PN      N1,10,16.68,16.81,60075066.0,0.0,99991231
2018-05-02,GGBR4,PN      N1,10,16.27,16.79,119154679.0,0.0,99991231
2018-05-03,GGBR4,PN      N1,10,16.52,16.59,112316293.0,0.0,99991231
2018-05-04,GGBR4,PN      N1,10,16.87,16.93,113972143.0,0.0,99991231
2018-05-07,GGBR4,PN      N1,10,16.39,17.03,100251033.0,0.0,99991231
2018-05-08,GGBR4,PN      N1,10,16.36,16.56,153125329.0,0.0,99991231
2018-05-09,GGBR4,PN      N1,10,17.39,17.4,386830608.0,0.0,99991231
2018-05-10,GGBR4,PN      N1,10,17.880000000000003,18.0,233547627.0,0.0,99991231
2018-05-11,GGBR4,PN      N1,10,17.78,18.14,185320808.0,0.0,99991231
2018-05-14,GGBR4,PN      N1,10,17.740000000000002,18.12,114643146.0,0.0,99991231
2018-05-15,GGBR4,PN      N1,10,17.810000000000002,17.83,157573336.0,0.0,99991231
2018-05-16,GGBR4,PN      N1,10,18.28,18.37,219868910.0,0.0,99991231
2018-05-17,GGBR4,PN      N1,10,17.990000000000002,18.53,230081769.0,0.0,99991231
2018-05-18,GGBR4,PN      N1,10,17.790000000000003,18.25,182244829.0,0.0,99991231
2018-05-21,GGBR4,PN      N1,10,17.200000000000003,18.2,227847336.0,0.0,99991231
2018-05-22,GGBR4,PN  EJ  N1,10,16.998,17.39,189709882.0,0.0,99991231
2018-05-23,GGBR4,PN  EJ  N1,10,16.618000000000002,16.8,88189053.0,0.0,99991231
2018-05-24,GGBR4,PN  EJ  N1,10,16.638,16.77,225103620.0,0.0,99991231
2018-05-25,GGBR4,PN  EJ  N1,10,15.947999999999999,16.73,264090902.0,0.0,99991231
2018-05-28,GGBR4,PN  EJ  N1,10,14.957999999999998,15.8,139498238.0,0.0,99991231
2018-05-29,GGBR4,PN  EJ  N1,10,15.177999999999999,15.7,168369274.0,0.0,99991231
2018-05-30,GGBR4,PN  EJ  N1,10,14.898,15.22,208720646.0,0.0,99991231
2018-06-01,GGBR4,PN  EJ  N1,10,15.558,15.55,150264652.0,0.0,99991231
2018-06-04,GGBR4,PN      N1,10,15.967999999999998,15.93,140446865.0,0.0,99991231
2018-06-05,GGBR4,PN      N1,10,16.248,16.55,296735950.0,0.0,99991231
2018-06-06,GGBR4,PN      N1,10,16.008,16.45,314999362.0,0.0,99991231
2018-06-07,GGBR4,PN      N1,10,14.937999999999999,15.88,315175435.0,0.0,99991231
2018-06-08,GGBR4,PN      N1,10,14.418,15.04,186487015.0,0.0,99991231
2018-06-11,GGBR4,PN      N1,10,14.297999999999998,14.86,151599992.0,0.0,99991231
2018-06-12,GGBR4,PN      N1,10,14.617999999999999,14.59,127348897.0,0.0,99991231
2018-06-13,GGBR4,PN      N1,10,14.568,14.65,160526975.0,0.0,99991231
2018-06-14,GGBR4,PN      N1,10,14.367999999999999,14.6,152579930.0,0.0,99991231
2018-06-15,GGBR4,PN      N1,10,14.137999999999998,14.25,200691974.0,0.0,99991231
2018-06-18,GGBR4,PN      N1,10,14.197999999999999,14.22,100803987.0,0.0,99991231
2018-06-19,GGBR4,PN      N1,10,14.137999999999998,14.15,145112837.0,0.0,99991231
2018-06-20,GGBR4,PN      N1,10,14.838,14.94,299126142.0,0.0,99991231
2018-06-21,GGBR4,PN      N1,10,14.088,14.82,113475712.0,0.0,99991231
2018-06-22,GGBR4,PN      N1,10,14.357999999999999,14.47,136071340.0,0.0,99991231
2018-06-25,GGBR4,PN      N1,10,13.967999999999998,14.42,123674645.0,0.0,99991231
2018-06-26,GGBR4,PN      N1,10,13.558,13.93,172668782.0,0.0,99991231
2018-06-27,GGBR4,PN      N1,10,13.658,13.78,147854461.0,0.0,99991231
2018-06-28,GGBR4,PN      N1,10,14.027999999999999,14.06,159390197.0,0.0,99991231
2018-06-29,GGBR4,PN      N1,10,14.008,14.25,180085077.0,0.0,99991231
2018-07-02,GGBR4,PN      N1,10,14.017999999999999,14.1,90759100.0,0.0,99991231
2018-07-03,GGBR4,PN      N1,10,14.387999999999998,14.46,165792340.0,0.0,99991231
2018-07-04,GGBR4,PN      N1,10,14.677999999999999,14.58,66622459.0,0.0,99991231
2018-07-05,GGBR4,PN      N1,10,15.258,15.33,278432190.0,0.0,99991231
