data_pregao,cod_negociacao,especificacao_papel,tipo_mercado,preco_ultimo_negocio,preco_maximo,volume_total_negociado,preco_exercicio,data_vencimento
2018-01-02,VALE3,ON  EJ  NM,10,41.72,41.74,584490551.0,0.0,99991231
2018-01-03,VALE3,ON  EJ  NM,10,41.47,41.88,530011942.0,0.0,99991231
2018-01-04,VALE3,ON  EJ  NM,10,41.64,42.37,774747912.0,0.0,99991231
2018-01-05,VALE3,ON  EJ  NM,10,42.29,42.29,638897201.0,0.0,99991231
2018-01-08,VALE3,ON      NM,10,43.23,43.23,624702239.0,0.0,99991231
2018-01-09,VALE3,ON      NM,10,43.07,43.75,692635956.0,0.0,99991231
2018-01-10,VALE3,ON      NM,10,42.47,42.95,517775599.0,0.0,99991231
2018-01-11,VALE3,ON      NM,10,43.3,43.3,439432600.0,0.0,99991231
2018-01-12,VALE3,ON      NM,10,43.55,43.66,652035283.0,0.0,99991231
2018-01-15,VALE3,ON      NM,10,43.47,43.72,315487028.0,0.0,99991231
2018-01-16,VALE3,ON      NM,10,42.3,43.14,858879617.0,0.0,99991231
2018-01-17,VALE3,ON      NM,10,43.15,43.22,707945960.0,0.0,99991231
2018-01-18,VALE3,ON      NM,10,42.86,43.61,463740293.0,0.0,99991231
2018-01-19,VALE3,ON      NM,10,42.88,43.4,480193446.0,0.0,99991231
2018-01-22,VALE3,ON      NM,10,42.65,43.16,493060038.0,0.0,99991231
2018-01-23,VALE3,ON      NM,10,40.87,42.11,1005678548.0,0.0,99991231
2018-01-24,VALE3,ON      NM,10,41.78,42.13,921090140.0,0.0,99991231
2018-01-26,VALE3,ON      NM,10,41.43,41.88,793958021.0,0.0,99991231
2018-01-29,VALE3,ON      NM,10,41.89,42.24,697169334.0,0.0,99991231
2018-01-30,VALE3,ON      NM,10,41.47,41.96,547302650.0,0.0,99991231
2018-01-31,VALE3,ON      NM,10,41.45,42.68,960097834.0,0.0,99991231
2018-02-01,VALE3,ON      NM,10,41.79,42.47,920862393.0,0.0,99991231
2018-02-02,VALE3,ON      NM,10,40.8,41.65,735811060.0,0.0,99991231
2018-02-05,VALE3,ON      NM,10,40.35,42.04,923610479.0,0.0,99991231
2018-02-06,VALE3,ON      NM,10,42.47,42.47,1078958144.0,0.0,99991231
2018-02-07,VALE3,ON      NM,10,41.71,42.72,868494891.0,0.0,99991231
2018-02-08,VALE3,ON      NM,10,41.59,42.13,787830337.0,0.0,99991231
2018-02-09,VALE3,ON      NM,10,42.0,42.4,950851013.0,0.0,99991231
2018-02-14,VALE3,ON      NM,10,44.51,44.55,1139832997.0,0.0,99991231
2018-02-15,VALE3,ON      NM,10,45.95,45.96,1414199108.0,0.0,99991231
2018-02-16,VALE3,ON      NM,10,46.03,46.19,968157606.0,0.0,99991231
2018-02-19,VALE3,ON      NM,10,46.45,46.8,593221468.0,0.0,99991231
2018-02-20,VALE3,ON      NM,10,45.51,46.45,845977795.0,0.0,99991231
2018-02-21,VALE3,ON      NM,10,44.8,45.96,1099598850.0,0.0,99991231
2018-02-22,VALE3,ON      NM,10,45.67,45.68,640345727.0,0.0,99991231
2018-02-23,VALE3,ON      NM,10,46.08,46.41,804862678.0,0.0,99991231
2018-02-26,VALE3,ON      NM,10,47.4,47.4,959852224.0,0.0,99991231
2018-02-27,VALE3,ON      NM,10,47.33,47.6,709735772.0,0.0,99991231
2018-02-28,VALE3,ON      NM,10,45.05,47.09,1814392209.0,0.0,99991231
2018-03-01,VALE3,ON      NM,10,44.45,45.63,1153189602.0,0.0,99991231
2018-03-02,VALE3,ON      NM,10,43.75,43.88,1092848534.0,0.0,99991231
2018-03-05,VALE3,ON      NM,10,43.7,43.94,700589321.0,0.0,99991231
2018-03-06,VALE3,ON      NM,10,43.49,44.92,989744833.0,0.0,99991231
2018-03-07,VALE3,ON  EJ  NM,10,43.265225,43.02,822752989.0,0.0,99991231
2018-03-08,VALE3,ON  EJ  NM,10,41.875225,42.79,833431667.0,0.0,99991231
2018-03-09,VALE3,ON  EJ  NM,10,42.515225,42.27,878310594.0,0.0,99991231
2018-03-12,VALE3,ON  EJ  NM,10,42.875225,42.63,501437606.0,0.0,99991231
2018-03-13,VALE3,ON  EJ  NM,10,42.545225,42.8,585838406.0,0.0,99991231
2018-03-14,VALE3,ON  EJ  NM,10,43.015225,43.34,769953477.0,0.0,99991231
2018-03-15,VALE3,ON  EJ  NM,10,42.815225,42.82,679867937.0,0.0,99991231
2018-03-16,VALE3,ON  EJ  NM,10,42.715225,42.6,1134269107.0,0.0,99991231
2018-03-19,VALE3,ON      NM,10,41.515225,41.52,897720575.0,0.0,99991231
2018-03-20,VALE3,ON      NM,10,42.015225,41.92,386478030.0,0.0,99991231
2018-03-21,VALE3,ON      NM,10,42.915225,42.69,837737485.0,0.0,99991231
2018-03-22,VALE3,ON      NM,10,42.345225,42.25,639094288.0,0.0,99991231
2018-03-23,VALE3,ON      NM,10,42.015225,42.2,625766259.0,0.0,99991231
2018-03-26,VALE3,ON      NM,10,42.415225,42.38,413552169.0,0.0,99991231
2018-03-27,VALE3,ON      NM,10,41.275225,42.39,482448721.0,0.0,99991231
2018-03-28,VALE3,ON      NM,10,41.955225,41.7,776718668.0,0.0,99991231
2018-03-29,VALE3,ON      NM,10,42.625225,42.75,863080847.0,0.0,99991231
2018-04-02,VALE3,ON      NM,10,43.415225,43.47,814485403.0,0.0,99991231
2018-04-03,VALE3,ON      NM,10,43.285225,43.55,587557318.0,0.0,99991231
2018-04-04,VALE3,ON      NM,10,42.965225,42.6,523747259.0,0.0,99991231
2018-04-05,VALE3,ON      NM,10,43.665225,43.69,636997098.0,0.0,99991231
2018-04-06,VALE3,ON      NM,10,43.155225,43.1,481300369.0,0.0,99991231
2018-04-09,VALE3,ON      NM,10,43.365225,43.23,510109910.0,0.0,99991231
2018-04-10,VALE3,ON      NM,10,45.255225,44.84,996943545.0,0.0,99991231
2018-04-11,VALE3,ON      NM,10,45.055225,45.06,790325396.0,0.0,99991231
2018-04-12,VALE3,ON      NM,10,45.225225,44.86,438401965.0,0.0,99991231
2018-04-13,VALE3,ON      NM,10,45.395224999999996,45.17,695768916.0,0.0,99991231
2018-04-16,VALE3,ON      NM,10,44.955225,44.85,509086602.0,0.0,99991231
2018-04-17,VALE3,ON      NM,10,46.345225,46.0,608329673.0,0.0,99991231
2018-04-18,VALE3,ON      NM,10,47.895224999999996,48.08,1314779859.0,0.0,99991231
2018-04-19,VALE3,ON      NM,10,48.245225,48.17,769909692.0,0.0,99991231
2018-04-20,VALE3,ON      NM,10,48.045225,47.9,484911445.0,0.0,99991231
2018-04-23,VALE3,ON      NM,10,47.915225,47.98,559598090.0,0.0,99991231
2018-04-24,VALE3,ON      NM,10,48.725225,48.59,729069687.0,0.0,99991231
2018-04-25,VALE3,ON      NM,10,48.365225,48.49,744660025.0,0.0,99991231
2018-04-26,VALE3,ON      NM,10,49.115225,49.0,642413154.0,0.0,99991231
2018-04-27,VALE3,ON      NM,10,48.765225,49.15,707278340.0,0.0,99991231
