data_pregao,cod_negociacao,especificacao_papel,tipo_mercado,preco_ultimo_negocio,preco_maximo,volume_total_negociado,preco_exercicio,data_vencimento
2020-11-24,VIVTA940,ON,70,1.57,1.57,15700.0,52.662470000000006,2021-01-18
2020-11-24,VIVTA455,ON,70,0.99,1.08,1413.0,54.162470000000006,2021-01-18
2020-11-24,VIVTA900,ON,70,0.22,0.22,22.0,58.662470000000006,2021-01-18
2020-11-24,VIVTA950,ON,70,1.13,1.13,10309.0,53.662470000000006,2021-01-18
2020-11-24,VIVTL980,ON,70,0.15,0.15,15.0,56.662470000000006,2020-12-21
2020-11-24,VIVTL985,ON,70,0.13,0.13,142.0,57.162470000000006,2020-12-21
2020-11-24,VIVTL970,ON,70,0.25,0.25,1975.0,55.662470000000006,2020-12-21
2020-11-24,VIVTL965,ON,70,0.29,0.31,60.0,55.162470000000006,2020-12-21
2020-11-24,VIVTL960,ON,70,0.37,0.4,1351.0,54.662470000000006,2020-12-21
2020-11-24,VIVTL950,ON,70,0.69,0.69,138.0,53.662470000000006,2020-12-21
2020-11-24,VIVTL975,ON,70,0.2,0.2,820.0,56.162470000000006,2020-12-21
2020-11-25,VIVTL980,ON,70,0.08,0.08,8.0,56.662470000000006,2020-12-21
2020-11-25,VIVTA455,ON,70,0.8,0.8,240.0,54.162470000000006,2021-01-18
2020-11-25,VIVTA960,ON,70,0.6,0.87,930.0,54.662470000000006,2021-01-18
2020-11-25,VIVTA950,ON,70,1.08,1.36,14001.0,53.662470000000006,2021-01-18
2020-11-25,VIVTA940,ON,70,1.44,1.44,978.0,52.662470000000006,2021-01-18
2020-11-25,VIVTL985,ON,70,0.05,0.05,5.0,57.162470000000006,2020-12-21
2020-11-25,VIVTL975,ON,70,0.19,0.24,624.0,56.162470000000006,2020-12-21
2020-11-25,VIVTL965,ON,70,0.25,0.26,223.0,55.162470000000006,2020-12-21
2020-11-25,VIVTL960,ON,70,0.27,0.36,1483.0,54.662470000000006,2020-12-21
2020-11-25,VIVTL955,ON,70,0.39,0.42,669.0,54.162470000000006,2020-12-21
2020-11-25,VIVTL950,ON,70,0.59,0.69,12214.0,53.662470000000006,2020-12-21
2020-11-25,VIVTL945,ON,70,0.63,0.75,562.0,53.162470000000006,2020-12-21
2020-11-25,VIVTL940,ON,70,0.94,1.06,6818.0,52.662470000000006,2020-12-21
2020-11-25,VIVTL970,ON,70,0.21,0.25,146.0,55.662470000000006,2020-12-21
2020-11-26,VIVTA950,ON,70,1.75,1.98,234132.0,53.662470000000006,2021-01-18
2020-11-26,VIVTA940,ON,70,1.33,1.33,1862.0,52.662470000000006,2021-01-18
2020-11-26,VIVTA960,ON,70,1.32,1.32,1880.0,54.662470000000006,2021-01-18
2020-11-26,VIVTL990,ON,70,0.05,0.05,50.0,57.662470000000006,2020-12-21
2020-11-26,VIVTA990,ON,70,0.56,0.56,7585.0,57.662470000000006,2021-01-18
2020-11-26,VIVTA445,ON,70,1.33,1.33,133.0,53.162470000000006,2021-01-18
2020-11-26,VIVTA970,ON,70,0.76,0.76,2882.0,55.662470000000006,2021-01-18
2020-11-26,VIVTL985,ON,70,0.25,0.25,100.0,57.162470000000006,2020-12-21
2020-11-26,VIVTA455,ON,70,1.5,1.5,409.0,54.162470000000006,2021-01-18
2020-11-26,VIVTL970,ON,70,0.49,0.65,9899.0,55.662470000000006,2020-12-21
2020-11-26,VIVTL965,ON,70,0.7,0.7,1845.0,55.162470000000006,2020-12-21
2020-11-26,VIVTL960,ON,70,0.98,0.98,3285.0,54.662470000000006,2020-12-21
2020-11-26,VIVTL955,ON,70,0.98,0.98,7911.0,54.162470000000006,2020-12-21
2020-11-26,VIVTL950,ON,70,1.31,1.31,104201.0,53.662470000000006,2020-12-21
2020-11-26,VIVTL945,ON,70,0.7,0.7,70.0,53.162470000000006,2020-12-21
2020-11-26,VIVTL940,ON,70,1.87,1.87,935.0,52.662470000000006,2020-12-21
2020-11-26,VIVTL980,ON,70,0.27,0.27,416.0,56.662470000000006,2020-12-21
2020-11-27,VIVTA950,ON,70,1.54,2.01,202335.0,53.662470000000006,2021-01-18
2020-11-27,VIVTA960,ON,70,1.3,1.3,390.0,54.662470000000006,2021-01-18
2020-11-27,VIVTA965,ON,70,1.0,1.0,400.0,55.162470000000006,2021-01-18
2020-11-27,VIVTA455,ON,70,1.3,1.3,130.0,54.162470000000006,2021-01-18
2020-11-27,VIVTA980,ON,70,0.73,0.73,73.0,56.662470000000006,2021-01-18
2020-11-27,VIVTA445,ON,70,1.93,1.93,4818.0,53.162470000000006,2021-01-18
2020-11-27,VIVTA940,ON,70,1.91,1.91,191.0,52.662470000000006,2021-01-18
2020-11-27,VIVTA970,ON,70,0.76,0.99,1513.0,55.662470000000006,2021-01-18
2020-11-27,VIVTL900,ON,70,0.14,0.14,140.0,58.662470000000006,2020-12-21
2020-11-27,VIVTL980,ON,70,0.25,0.25,390.0,56.662470000000006,2020-12-21
2020-11-27,VIVTL970,ON,70,0.5,0.5,1048.0,55.662470000000006,2020-12-21
2020-11-27,VIVTL965,ON,70,0.39,0.39,78.0,55.162470000000006,2020-12-21
2020-11-27,VIVTL960,ON,70,0.73,0.79,6935.0,54.662470000000006,2020-12-21
2020-11-27,VIVTL955,ON,70,0.97,0.97,4569.0,54.162470000000006,2020-12-21
2020-11-27,VIVTL950,ON,70,1.16,1.18,6816.0,53.662470000000006,2020-12-21
2020-11-27,VIVTL945,ON,70,1.27,1.27,127.0,53.162470000000006,2020-12-21
2020-11-27,VIVTL940,ON,70,1.69,1.69,2268.0,52.662470000000006,2020-12-21
2020-11-27,VIVTL990,ON,70,0.06,0.09,2065.0,57.662470000000006,2020-12-21
2020-11-30,VIVTA960,ON,70,0.96,0.96,288.0,54.663835000000006,2021-01-18
2020-11-30,VIVTA455,ON,70,1.28,1.28,1280.0,54.163835000000006,2021-01-18
2020-11-30,VIVTA445,ON,70,1.82,1.82,18200.0,53.163835000000006,2021-01-18
2020-11-30,VIVTA900,ON,70,0.25,0.25,25.0,58.663835000000006,2021-01-18
2020-11-30,VIVTB470,ON,70,1.25,1.25,125.0,55.663835000000006,2021-02-22
2020-11-30,VIVTA950,ON,70,1.41,1.56,69883.0,53.663835000000006,2021-01-18
2020-11-30,VIVTA965,ON,70,1.06,1.06,418.0,55.163835000000006,2021-01-18
2020-11-30,VIVTL975,ON,70,0.25,0.26,76.0,56.163835000000006,2020-12-21
2020-11-30,VIVTL960,ON,70,0.45,0.56,1341.0,54.663835000000006,2020-12-21
2020-11-30,VIVTL950,ON,70,0.95,0.95,64817.0,53.663835000000006,2020-12-21
2020-11-30,VIVTL945,ON,70,1.0,1.0,700.0,53.163835000000006,2020-12-21
2020-11-30,VIVTL940,ON,70,1.23,1.27,3790.0,52.663835000000006,2020-12-21
2020-11-30,VIVTL990,ON,70,0.13,0.13,169.0,57.663835000000006,2020-12-21
2020-12-01,VIVTL490,ON,70,0.33,0.33,132.0,57.913835000000006,2020-12-21
2020-12-01,VIVTB480,ON,70,1.25,1.25,125.0,56.663835000000006,2021-02-22
2020-12-01,VIVTA445,ON,70,2.2,2.2,21392.0,53.163835000000006,2021-01-18
2020-12-01,VIVTA990,ON,70,0.75,0.75,150.0,57.663835000000006,2021-01-18
