data_pregao,cod_negociacao,especificacao_papel,tipo_mercado,preco_ultimo_negocio,preco_maximo,volume_total_negociado,preco_exercicio,data_vencimento
2020-11-24,VIVTX955,ON,80,2.26,2.52,478.0,54.162470000000006,2020-12-21
2020-11-24,VIVTM920,ON,80,0.73,0.73,73.0,50.662470000000006,2021-01-18
2020-11-24,VIVTX950,ON,80,1.6,1.7,500.0,53.662470000000006,2020-12-21
2020-11-24,VIVTX930,ON,80,0.77,0.81,5461.0,51.662470000000006,2020-12-21
2020-11-24,VIVTX935,ON,80,0.91,0.91,364.0,52.162470000000006,2020-12-21
2020-11-24,VIVTX925,ON,80,0.57,0.76,361.0,51.162470000000006,2020-12-21
2020-11-24,VIVTX920,ON,80,0.45,0.53,4070.0,50.662470000000006,2020-12-21
2020-11-25,VIVTM920,ON,80,0.88,1.11,4365.0,50.662470000000006,2021-01-18
2020-11-25,VIVTM870,ON,80,0.14,0.14,700.0,45.662470000000006,2021-01-18
2020-11-25,VIVTM950,ON,80,1.86,1.86,9300.0,53.662470000000006,2021-01-18
2020-11-25,VIVTM940,ON,80,1.7,1.7,170.0,52.662470000000006,2021-01-18
2020-11-25,VIVTM930,ON,80,1.26,1.26,5172.0,51.662470000000006,2021-01-18
2020-11-25,VIVTX950,ON,80,1.95,1.95,975.0,53.662470000000006,2020-12-21
2020-11-25,VIVTM925,ON,80,1.12,1.12,224.0,51.162470000000006,2021-01-18
2020-11-25,VIVTX935,ON,80,1.2,1.23,3667.0,52.162470000000006,2020-12-21
2020-11-25,VIVTX930,ON,80,0.98,1.14,56856.0,51.662470000000006,2020-12-21
2020-11-25,VIVTX925,ON,80,0.8,0.86,3412.0,51.162470000000006,2020-12-21
2020-11-25,VIVTX920,ON,80,0.59,0.66,14360.0,50.662470000000006,2020-12-21
2020-11-25,VIVTX910,ON,80,0.39,0.39,1092.0,49.662470000000006,2020-12-21
2020-11-25,VIVTX905,ON,80,0.26,0.26,83.0,49.162470000000006,2020-12-21
2020-11-25,VIVTX940,ON,80,1.46,1.61,37069.0,52.662470000000006,2020-12-21
2020-11-26,VIVTX950,ON,80,1.51,1.7,925.0,53.662470000000006,2020-12-21
2020-11-26,VIVTM435,ON,80,1.61,1.61,589931.0,52.162470000000006,2021-01-18
2020-11-26,VIVTM920,ON,80,0.69,0.69,138.0,50.662470000000006,2021-01-18
2020-11-26,VIVTM950,ON,80,1.87,2.65,3585.0,53.662470000000006,2021-01-18
2020-11-26,VIVTM925,ON,80,1.32,1.32,589770.0,51.162470000000006,2021-01-18
2020-11-26,VIVTX935,ON,80,1.3,1.3,650.0,52.162470000000006,2020-12-21
2020-11-26,VIVTX925,ON,80,0.8,0.87,1220.0,51.162470000000006,2020-12-21
2020-11-26,VIVTX930,ON,80,0.66,1.01,23555.0,51.662470000000006,2020-12-21
2020-11-26,VIVTX920,ON,80,0.37,0.62,11177.0,50.662470000000006,2020-12-21
2020-11-26,VIVTX910,ON,80,0.36,0.4,152.0,49.662470000000006,2020-12-21
2020-11-26,VIVTX905,ON,80,0.11,0.3,197.0,49.162470000000006,2020-12-21
2020-11-26,VIVTX940,ON,80,0.9,1.53,15511.0,52.662470000000006,2020-12-21
2020-11-27,VIVTM920,ON,80,1.11,1.11,14009.0,50.662470000000006,2021-01-18
2020-11-27,VIVTM950,ON,80,1.92,1.92,960.0,53.662470000000006,2021-01-18
2020-11-27,VIVTM940,ON,80,1.66,1.68,8507.0,52.662470000000006,2021-01-18
2020-11-27,VIVTM925,ON,80,0.99,0.99,495.0,51.162470000000006,2021-01-18
2020-11-27,VIVTX950,ON,80,1.7,1.7,17241.0,53.662470000000006,2020-12-21
2020-11-27,VIVTX930,ON,80,0.79,0.91,4909.0,51.662470000000006,2020-12-21
2020-11-27,VIVTX935,ON,80,0.76,0.76,228.0,52.162470000000006,2020-12-21
2020-11-27,VIVTX925,ON,80,0.55,0.78,711.0,51.162470000000006,2020-12-21
2020-11-27,VIVTX920,ON,80,0.5,0.63,5094.0,50.662470000000006,2020-12-21
2020-11-27,VIVTX910,ON,80,0.37,0.37,296.0,49.662470000000006,2020-12-21
2020-11-27,VIVTM400,ON,80,0.54,0.54,540.0,48.662470000000006,2021-01-18
2020-11-27,VIVTX940,ON,80,1.14,1.34,12246.0,52.662470000000006,2020-12-21
2020-11-30,VIVTM940,ON,80,1.68,1.68,168.0,52.663835000000006,2021-01-18
2020-11-30,VIVTM925,ON,80,1.03,1.22,1808.0,51.163835000000006,2021-01-18
2020-11-30,VIVTM400,ON,80,0.45,0.45,450.0,48.663835000000006,2021-01-18
2020-11-30,VIVTM920,ON,80,0.9,0.93,2750.0,50.663835000000006,2021-01-18
2020-11-30,VIVTX940,ON,80,1.14,1.4,37063.0,52.663835000000006,2020-12-21
2020-11-30,VIVTM930,ON,80,1.25,1.4,405.0,51.663835000000006,2021-01-18
2020-11-30,VIVTX930,ON,80,0.74,0.96,1160.0,51.663835000000006,2020-12-21
2020-11-30,VIVTX935,ON,80,0.96,1.25,855.0,52.163835000000006,2020-12-21
2020-11-30,VIVTX925,ON,80,0.64,0.64,192.0,51.163835000000006,2020-12-21
2020-11-30,VIVTX920,ON,80,0.47,0.6,4986.0,50.663835000000006,2020-12-21
2020-11-30,VIVTX910,ON,80,0.24,0.35,398.0,49.663835000000006,2020-12-21
2020-12-01,VIVTM920,ON,80,0.53,0.53,2681.0,50.663835000000006,2021-01-18
2020-12-01,VIVTM870,ON,80,0.1,0.1,500.0,45.663835000000006,2021-01-18
2020-12-01,VIVTM950,ON,80,1.3,1.35,27220.0,53.663835000000006,2021-01-18
2020-12-01,VIVTM940,ON,80,0.95,0.95,9544.0,52.663835000000006,2021-01-18
2020-12-01,VIVTM930,ON,80,0.7,0.7,11300.0,51.663835000000006,2021-01-18
2020-12-01,VIVTX950,ON,80,0.87,1.1,16190.0,53.663835000000006,2020-12-21
2020-12-01,VIVTM925,ON,80,0.56,0.56,392.0,51.163835000000006,2021-01-18
2020-12-01,VIVTX940,ON,80,0.55,0.55,275.0,52.663835000000006,2020-12-21
2020-12-01,VIVTX935,ON,80,0.7,0.7,210.0,52.163835000000006,2020-12-21
2020-12-01,VIVTX930,ON,80,0.37,0.4,926.0,51.663835000000006,2020-12-21
2020-12-01,VIVTX925,ON,80,0.25,0.25,25.0,51.163835000000006,2020-12-21
2020-12-01,VIVTX920,ON,80,0.24,0.24,3501.0,50.663835000000006,2020-12-21
2020-12-01,VIVTX910,ON,80,0.12,0.12,24.0,49.663835000000006,2020-12-21
2020-12-01,VIVTX945,ON,80,0.69,0.79,375.0,53.163835000000006,2020-12-21
2020-12-02,VIVTM940,ON,80,1.55,1.55,50739.0,52.663835000000006,2021-01-18
2020-12-02,VIVTM435,ON,80,1.2,1.2,120.0,52.163835000000006,2021-01-18
2020-12-02,VIVTM415,ON,80,0.61,0.61,122.0,50.163835000000006,2021-01-18
2020-12-02,VIVTM395,ON,80,0.36,0.36,72.0,48.163835000000006,2021-01-18
2020-12-02,VIVTM920,ON,80,0.8,0.8,4072.0,50.663835000000006,2021-01-18
2020-12-02,VIVTM870,ON,80,0.15,0.15,1407.0,45.663835000000006,2021-01-18
2020-12-02,VIVTM960,ON,80,2.61,2.7,65250.0,54.663835000000006,2021-01-18
2020-12-02,VIVTM950,ON,80,1.98,2.03,32225.0,53.663835000000006,2021-01-18
2020-12-02,VIVTM930,ON,80,1.09,1.15,40895.0,51.663835000000006,2021-01-18
2020-12-02,VIVTX930,ON,80,0.61,0.69,7114.0,51.663835000000006,2020-12-21
2020-12-02,VIVTX980,ON,80,3.08,3.08,19415.0,56.663835000000006,2020-12-21
2020-12-02,VIVTX960,ON,80,1.91,2.19,23405.0,54.663835000000006,2020-12-21
2020-12-02,VIVTX950,ON,80,0.9,0.9,270.0,53.663835000000006,2020-12-21
2020-12-02,VIVTX945,ON,80,1.16,1.16,116.0,53.163835000000006,2020-12-21
2020-12-02,VIVTX940,ON,80,0.93,1.05,19500.0,52.663835000000006,2020-12-21
2020-12-02,VIVTX925,ON,80,0.46,0.46,278.0,51.163835000000006,2020-12-21
2020-12-02,VIVTX920,ON,80,0.35,0.43,259.0,50.663835000000006,2020-12-21
2020-12-02,VIVTX910,ON,80,0.21,0.21,4300.0,49.663835000000006,2020-12-21
2020-12-02,VIVTM925,ON,80,0.87,0.95,822.0,51.163835000000006,2021-01-18
2020-12-03,VIVTM925,ON,80,0.94,0.97,857.0,51.163835000000006,2021-01-18
2020-12-03,VIVTM400,ON,80,0.44,0.44,176.0,48.663835000000006,2021-01-18
2020-12-03,VIVTM920,ON,80,0.82,0.83,2134.0,50.663835000000006,2021-01-18
2020-12-03,VIVTM950,ON,80,2.13,2.41,134515.0,53.663835000000006,2021-01-18
2020-12-03,VIVTM415,ON,80,0.64,0.65,770.0,50.163835000000006,2021-01-18
2020-12-03,VIVTM930,ON,80,1.25,1.36,27295.0,51.663835000000006,2021-01-18
2020-12-03,VIVTX950,ON,80,1.85,1.85,14775.0,53.663835000000006,2020-12-21
2020-12-03,VIVTM940,ON,80,1.51,1.85,78374.0,52.663835000000006,2021-01-18
2020-12-03,VIVTX940,ON,80,1.05,1.32,31446.0,52.663835000000006,2020-12-21
2020-12-03,VIVTX935,ON,80,0.84,0.96,7287.0,52.163835000000006,2020-12-21
2020-12-03,VIVTX930,ON,80,0.65,0.85,9265.0,51.663835000000006,2020-12-21
2020-12-03,VIVTX925,ON,80,0.45,0.56,3087.0,51.163835000000006,2020-12-21
2020-12-03,VIVTX920,ON,80,0.37,0.51,7564.0,50.663835000000006,2020-12-21
2020-12-03,VIVTX910,ON,80,0.3,0.3,90.0,49.663835000000006,2020-12-21
2020-12-03,VIVTX905,ON,80,0.31,0.31,2455.0,49.163835000000006,2020-12-21
2020-12-03,VIVTX945,ON,80,1.24,1.32,256.0,53.163835000000006,2020-12-21
2020-12-04,VIVTM415,ON,80,0.83,0.83,220.0,50.163835000000006,2021-01-18
2020-12-04,VIVTM395,ON,80,0.28,0.28,56.0,48.163835000000006,2021-01-18
2020-12-04,VIVTM950,ON,80,2.0,2.0,10000.0,53.663835000000006,2021-01-18
2020-12-04,VIVTM940,ON,80,1.58,1.68,10680.0,52.663835000000006,2021-01-18
2020-12-04,VIVTM930,ON,80,1.12,1.12,1344.0,51.663835000000006,2021-01-18
2020-12-04,VIVTM925,ON,80,1.0,1.0,1494.0,51.163835000000006,2021-01-18
2020-12-04,VIVTX945,ON,80,1.31,1.33,1574.0,53.163835000000006,2020-12-21
2020-12-04,VIVTX940,ON,80,0.98,1.12,21261.0,52.663835000000006,2020-12-21
2020-12-04,VIVTX935,ON,80,0.81,0.81,158.0,52.163835000000006,2020-12-21
2020-12-04,VIVTX930,ON,80,0.63,0.67,14791.0,51.663835000000006,2020-12-21
2020-12-04,VIVTX920,ON,80,0.37,0.41,968.0,50.663835000000006,2020-12-21
2020-12-04,VIVTX910,ON,80,0.19,0.19,19.0,49.663835000000006,2020-12-21
2020-12-04,VIVTX950,ON,80,1.63,1.63,3240.0,53.663835000000006,2020-12-21
2020-12-07,VIVTM435,ON,80,1.27,1.27,381.0,52.163835000000006,2021-01-18
2020-12-07,VIVTM415,ON,80,0.76,0.76,76.0,50.163835000000006,2021-01-18
2020-12-07,VIVTM400,ON,80,0.43,0.43,1290.0,48.663835000000006,2021-01-18
2020-12-07,VIVTM920,ON,80,0.87,0.9,2682.0,50.663835000000006,2021-01-18
2020-12-07,VIVTM970,ON,80,3.8,3.8,3800.0,55.663835000000006,2021-01-18
2020-12-07,VIVTM940,ON,80,1.61,1.61,644.0,52.663835000000006,2021-01-18
2020-12-07,VIVTM930,ON,80,1.11,1.12,671.0,51.663835000000006,2021-01-18
2020-12-07,VIVTX940,ON,80,1.23,1.24,15460.0,52.663835000000006,2020-12-21
2020-12-07,VIVTX980,ON,80,4.1,4.1,4100.0,56.663835000000006,2020-12-21
2020-12-07,VIVTX935,ON,80,0.7,0.7,700.0,52.163835000000006,2020-12-21
2020-12-07,VIVTX930,ON,80,0.82,0.82,16712.0,51.663835000000006,2020-12-21
2020-12-07,VIVTX925,ON,80,0.44,0.46,90.0,51.163835000000006,2020-12-21
2020-12-07,VIVTX920,ON,80,0.4,0.4,135.0,50.663835000000006,2020-12-21
2020-12-07,VIVTX910,ON,80,0.2,0.2,245.0,49.663835000000006,2020-12-21
2020-12-07,VIVTM925,ON,80,1.0,1.0,5225.0,51.163835000000006,2021-01-18
2020-12-08,VIVTM415,ON,80,0.65,0.65,1071.0,50.163835000000006,2021-01-18
2020-12-08,VIVTM395,ON,80,0.21,0.21,84.0,48.163835000000006,2021-01-18
2020-12-08,VIVTM920,ON,80,0.74,0.74,19235.0,50.663835000000006,2021-01-18
2020-12-08,VIVTM950,ON,80,1.88,1.88,8460.0,53.663835000000006,2021-01-18
2020-12-08,VIVTM940,ON,80,1.6,1.6,1600.0,52.663835000000006,2021-01-18
2020-12-08,VIVTM930,ON,80,0.93,1.11,9029.0,51.663835000000006,2021-01-18
2020-12-08,VIVTX945,ON,80,1.26,1.26,126.0,53.163835000000006,2020-12-21
2020-12-08,VIVTX940,ON,80,0.75,1.06,9882.0,52.663835000000006,2020-12-21
2020-12-08,VIVTX930,ON,80,0.49,0.55,5486.0,51.663835000000006,2020-12-21
2020-12-08,VIVTX925,ON,80,0.32,0.32,96.0,51.163835000000006,2020-12-21
2020-12-08,VIVTM925,ON,80,0.79,1.0,1332.0,51.163835000000006,2021-01-18
2020-12-09,VIVTM925,ON,80,0.46,0.72,1439.0,51.163835000000006,2021-01-18
2020-12-09,VIVTM435,ON,80,0.89,1.18,3105.0,52.163835000000006,2021-01-18
2020-12-09,VIVTM415,ON,80,0.39,0.39,195.0,50.163835000000006,2021-01-18
2020-12-09,VIVTM970,ON,80,2.4,2.55,1490.0,55.663835000000006,2021-01-18
2020-12-09,VIVTM950,ON,80,1.21,1.53,14078.0,53.663835000000006,2021-01-18
2020-12-09,VIVTM930,ON,80,0.63,0.75,15083.0,51.663835000000006,2021-01-18
2020-12-09,VIVTX960,ON,80,1.3,1.3,1300.0,54.663835000000006,2020-12-21
2020-12-09,VIVTX930,ON,80,0.23,0.35,15667.0,51.663835000000006,2020-12-21
2020-12-09,VIVTX945,ON,80,0.76,0.76,456.0,53.163835000000006,2020-12-21
2020-12-09,VIVTX940,ON,80,0.31,0.79,19426.0,52.663835000000006,2020-12-21
2020-12-09,VIVTX935,ON,80,0.35,0.42,259.0,52.163835000000006,2020-12-21
2020-12-09,VIVTX950,ON,80,0.5,1.31,13641.0,53.663835000000006,2020-12-21
2020-12-09,VIVTX925,ON,80,0.14,0.28,363.0,51.163835000000006,2020-12-21
2020-12-09,VIVTX920,ON,80,0.11,0.21,1417.0,50.663835000000006,2020-12-21
2020-12-09,VIVTX905,ON,80,0.07,0.08,720.0,49.163835000000006,2020-12-21
2020-12-10,VIVTM435,ON,80,1.08,1.08,318.0,52.163835000000006,2021-01-18
2020-12-10,VIVTM415,ON,80,0.27,0.51,156.0,50.163835000000006,2021-01-18
2020-12-10,VIVTM920,ON,80,0.46,0.46,129.0,50.663835000000006,2021-01-18
2020-12-10,VIVTM960,ON,80,2.48,2.48,248.0,54.663835000000006,2021-01-18
2020-12-10,VIVTM950,ON,80,1.15,1.15,115.0,53.663835000000006,2021-01-18
2020-12-10,VIVTM940,ON,80,0.9,1.35,14365.0,52.663835000000006,2021-01-18
2020-12-10,VIVTM930,ON,80,0.63,0.94,10218.0,51.663835000000006,2021-01-18
2020-12-10,VIVTM925,ON,80,0.43,0.78,2142.0,51.163835000000006,2021-01-18
2020-12-10,VIVTX960,ON,80,0.98,1.89,1232.0,54.663835000000006,2020-12-21
2020-12-10,VIVTX905,ON,80,0.05,0.05,500.0,49.163835000000006,2020-12-21
2020-12-10,VIVTX950,ON,80,0.85,0.85,16300.0,53.663835000000006,2020-12-21
2020-12-10,VIVTX945,ON,80,0.85,0.85,850.0,53.163835000000006,2020-12-21
2020-12-10,VIVTX940,ON,80,0.28,0.63,5756.0,52.663835000000006,2020-12-21
2020-12-10,VIVTX935,ON,80,0.38,0.38,3765.0,52.163835000000006,2020-12-21
2020-12-10,VIVTX930,ON,80,0.17,0.21,346.0,51.663835000000006,2020-12-21
2020-12-10,VIVTX925,ON,80,0.23,0.24,1640.0,51.163835000000006,2020-12-21
2020-12-10,VIVTX920,ON,80,0.1,0.15,736.0,50.663835000000006,2020-12-21
2020-12-10,VIVTX955,ON,80,0.61,0.61,610.0,54.163835000000006,2020-12-21
2020-12-11,VIVTM930,ON,80,0.47,0.55,2658.0,51.663835000000006,2021-01-18
2020-12-11,VIVTM940,ON,80,0.5,0.95,6352.0,52.663835000000006,2021-01-18
2020-12-11,VIVTM950,ON,80,0.88,1.02,5484.0,53.663835000000006,2021-01-18
2020-12-11,VIVTM925,ON,80,0.23,0.48,213.0,51.163835000000006,2021-01-18
2020-12-11,VIVTX830,ON,80,6.5,6.5,4550.0,61.663835000000006,2020-12-21
2020-12-11,VIVTM920,ON,80,0.3,0.36,426.0,50.663835000000006,2021-01-18
2020-12-11,VIVTM415,ON,80,0.26,0.26,26.0,50.163835000000006,2021-01-18
2020-12-11,VIVTM960,ON,80,1.0,1.34,694.0,54.663835000000006,2021-01-18
2020-12-11,VIVTX980,ON,80,0.99,1.74,2064.0,56.663835000000006,2020-12-21
