data_pregao,cod_negociacao,especificacao_papel,tipo_mercado,preco_ultimo_negocio,preco_maximo,volume_total_negociado,preco_exercicio,data_vencimento
2018-01-02,VIVT3,ON  EJ,10,41.4,41.55,263733.0,0.0,99991231
2018-01-03,VIVT3,ON  EJ,10,40.2,41.44,1214244.0,0.0,99991231
2018-01-04,VIVT3,ON  EJ,10,40.64,40.9,851991.0,0.0,99991231
2018-01-05,VIVT3,ON  EJ,10,40.74,40.89,179092.0,0.0,99991231
2018-01-08,VIVT3,ON  EJ,10,41.17,41.2,278591.0,0.0,99991231
2018-01-09,VIVT3,ON  EJ,10,41.06,41.29,550438.0,0.0,99991231
2018-01-10,VIVT3,ON,10,40.54,40.79,389461.0,0.0,99991231
2018-01-11,VIVT3,ON,10,42.17,42.17,108484.0,0.0,99991231
2018-01-12,VIVT3,ON,10,41.79,41.81,241204.0,0.0,99991231
2018-01-15,VIVT3,ON,10,41.5,41.79,145622.0,0.0,99991231
2018-01-16,VIVT3,ON,10,42.15,42.46,380288.0,0.0,99991231
2018-01-17,VIVT3,ON,10,42.42,42.71,484582.0,0.0,99991231
2018-01-18,VIVT3,ON,10,42.42,42.95,123031.0,0.0,99991231
2018-01-19,VIVT3,ON,10,41.08,43.02,830717.0,0.0,99991231
2018-01-22,VIVT3,ON,10,41.49,41.49,99240.0,0.0,99991231
2018-01-23,VIVT3,ON,10,42.25,42.25,223730.0,0.0,99991231
2018-01-24,VIVT3,ON,10,44.0,44.0,907328.0,0.0,99991231
2018-01-26,VIVT3,ON,10,43.5,43.91,982712.0,0.0,99991231
2018-01-29,VIVT3,ON,10,43.5,43.5,171592.0,0.0,99991231
2018-01-30,VIVT3,ON,10,43.49,43.5,362986.0,0.0,99991231
2018-01-31,VIVT3,ON,10,43.55,44.0,209109.0,0.0,99991231
2018-02-01,VIVT3,ON,10,44.0,44.35,470507.0,0.0,99991231
2018-02-02,VIVT3,ON,10,44.1,44.56,1401315.0,0.0,99991231
2018-02-05,VIVT3,ON,10,44.8,44.84,352234.0,0.0,99991231
2018-02-06,VIVT3,ON,10,46.23,46.23,923664.0,0.0,99991231
2018-02-07,VIVT3,ON,10,45.61,45.7,127697.0,0.0,99991231
2018-02-08,VIVT3,ON,10,44.75,45.8,962610.0,0.0,99991231
2018-02-09,VIVT3,ON,10,45.11,45.11,723611.0,0.0,99991231
2018-02-14,VIVT3,ON,10,45.89,45.89,397971.0,0.0,99991231
2018-02-15,VIVT3,ON,10,46.0,46.0,953122.0,0.0,99991231
2018-02-16,VIVT3,ON,10,44.53,45.48,2459137.0,0.0,99991231
2018-02-19,VIVT3,ON,10,44.37,44.73,1863514.0,0.0,99991231
2018-02-20,VIVT3,ON,10,44.01,44.5,306119.0,0.0,99991231
2018-02-21,VIVT3,ON,10,43.28,44.09,1334448.0,0.0,99991231
2018-02-22,VIVT3,ON,10,43.06,43.3,525904.0,0.0,99991231
2018-02-23,VIVT3,ON,10,43.45,43.5,2353843.0,0.0,99991231
2018-02-26,VIVT3,ON,10,43.09,43.65,398482.0,0.0,99991231
2018-02-27,VIVT3,ON,10,42.4,43.29,318520.0,0.0,99991231
2018-02-28,VIVT3,ON,10,42.12,42.5,555854.0,0.0,99991231
2018-03-01,VIVT3,ON,10,42.79,42.8,753275.0,0.0,99991231
2018-03-02,VIVT3,ON,10,42.8,42.8,700650.0,0.0,99991231
2018-03-05,VIVT3,ON,10,43.98,43.98,2218833.0,0.0,99991231
2018-03-06,VIVT3,ON,10,43.9,43.9,350541.0,0.0,99991231
2018-03-07,VIVT3,ON,10,44.0,44.0,534925.0,0.0,99991231
2018-03-08,VIVT3,ON,10,44.52,44.52,301204.0,0.0,99991231
2018-03-09,VIVT3,ON,10,45.4,45.4,924372.0,0.0,99991231
2018-03-12,VIVT3,ON,10,43.35,44.98,2307466.0,0.0,99991231
2018-03-13,VIVT3,ON,10,42.89,43.62,575730.0,0.0,99991231
2018-03-14,VIVT3,ON,10,42.93,43.5,7818437.0,0.0,99991231
2018-03-15,VIVT3,ON,10,42.64,43.19,415077.0,0.0,99991231
2018-03-16,VIVT3,ON,10,42.44,42.44,1229946.0,0.0,99991231
2018-03-19,VIVT3,ON,10,42.2,42.35,922862.0,0.0,99991231
2018-03-20,VIVT3,ON,10,41.59,42.68,1717939.0,0.0,99991231
2018-03-21,VIVT3,ON,10,41.82,41.82,997200.0,0.0,99991231
2018-03-22,VIVT3,ON,10,41.6,41.78,773307.0,0.0,99991231
2018-03-23,VIVT3,ON,10,41.58,41.75,636087.0,0.0,99991231
2018-03-26,VIVT3,ON,10,42.15,42.15,17407006.0,0.0,99991231
2018-03-27,VIVT3,ON,10,43.24,43.34,3560723.0,0.0,99991231
2018-03-28,VIVT3,ON,10,42.8,43.0,222645.0,0.0,99991231
2018-03-29,VIVT3,ON,10,44.2,44.2,228112.0,0.0,99991231
2018-04-02,VIVT3,ON,10,45.0,45.0,920270.0,0.0,99991231
2018-04-03,VIVT3,ON,10,44.82,44.82,3977960.0,0.0,99991231
2018-04-04,VIVT3,ON,10,45.45,45.45,3199180.0,0.0,99991231
2018-04-05,VIVT3,ON,10,45.4,45.51,330571.0,0.0,99991231
2018-04-06,VIVT3,ON,10,45.5,45.5,10443883.0,0.0,99991231
2018-04-09,VIVT3,ON,10,45.49,45.59,1490553.0,0.0,99991231
2018-04-10,VIVT3,ON,10,46.25,46.25,436206.0,0.0,99991231
2018-04-11,VIVT3,ON,10,46.0,46.61,7284275.0,0.0,99991231
2018-04-12,VIVT3,ON,10,45.22,46.29,1450688.0,0.0,99991231
2018-04-13,VIVT3,ON  ED,10,45.347300000000004,44.13,263309.0,0.0,99991231
2018-04-16,VIVT3,ON  ED,10,45.2673,44.09,478026.0,0.0,99991231
2018-04-17,VIVT3,ON  ED,10,46.1273,44.91,789332.0,0.0,99991231
2018-04-18,VIVT3,ON  ED,10,46.2173,45.3,1170652.0,0.0,99991231
2018-04-19,VIVT3,ON  ED,10,46.167300000000004,44.95,188147.0,0.0,99991231
2018-04-20,VIVT3,ON  ED,10,44.9673,44.49,576100.0,0.0,99991231
2018-04-23,VIVT3,ON  ED,10,45.1973,44.2,8146472.0,0.0,99991231
2018-04-24,VIVT3,ON  ED,10,45.057300000000005,44.0,1955733.0,0.0,99991231
2018-04-25,VIVT3,ON,10,43.667300000000004,43.59,2728765.0,0.0,99991231
2018-04-26,VIVT3,ON,10,45.0173,44.19,2253598.0,0.0,99991231
2018-04-27,VIVT3,ON,10,45.347300000000004,44.59,1390667.0,0.0,99991231
2018-04-30,VIVT3,ON,10,45.3173,44.19,30790.0,0.0,99991231
2018-05-02,VIVT3,ON,10,45.557300000000005,44.44,971662.0,0.0,99991231
2018-05-03,VIVT3,ON,10,43.847300000000004,43.99,966462.0,0.0,99991231
2018-05-04,VIVT3,ON,10,43.7673,42.88,689130.0,0.0,99991231
2018-05-07,VIVT3,ON,10,43.1273,42.34,639583.0,0.0,99991231
2018-05-08,VIVT3,ON,10,43.6173,42.4,23369514.0,0.0,99991231
2018-05-09,VIVT3,ON,10,44.027300000000004,42.81,372591.0,0.0,99991231
2018-05-10,VIVT3,ON,10,43.9973,43.1,563853.0,0.0,99991231
2018-05-11,VIVT3,ON,10,43.9373,42.95,405742.0,0.0,99991231
2018-05-14,VIVT3,ON,10,43.2173,42.55,514197.0,0.0,99991231
2018-05-15,VIVT3,ON,10,43.3673,42.43,467061.0,0.0,99991231
2018-05-16,VIVT3,ON,10,43.7173,42.68,2411109.0,0.0,99991231
2018-05-17,VIVT3,ON,10,43.1273,42.31,288541.0,0.0,99991231
2018-05-18,VIVT3,ON,10,42.5073,41.6,507286.0,0.0,99991231
2018-05-21,VIVT3,ON,10,42.3773,41.27,2707757.0,0.0,99991231
2018-05-22,VIVT3,ON,10,42.6173,41.66,577398.0,0.0,99991231
2018-05-23,VIVT3,ON,10,42.0473,40.91,778696.0,0.0,99991231
2018-05-24,VIVT3,ON,10,43.0673,41.85,660651.0,0.0,99991231
2018-05-25,VIVT3,ON,10,42.917300000000004,41.76,1452171.0,0.0,99991231
2018-05-28,VIVT3,ON,10,41.7973,41.25,2017696.0,0.0,99991231
2018-05-29,VIVT3,ON,10,41.6173,40.82,930191.0,0.0,99991231
2018-05-30,VIVT3,ON,10,42.707300000000004,41.49,2061397.0,0.0,99991231
2018-06-01,VIVT3,ON,10,42.7173,41.87,1046581.0,0.0,99991231
2018-06-04,VIVT3,ON,10,42.3173,41.3,645403.0,0.0,99991231
2018-06-05,VIVT3,ON,10,41.777300000000004,41.1,1150664.0,0.0,99991231
2018-06-06,VIVT3,ON,10,42.417300000000004,41.2,976829.0,0.0,99991231
2018-06-07,VIVT3,ON,10,42.7473,41.6,2215892.0,0.0,99991231
2018-06-08,VIVT3,ON,10,42.6173,41.58,985829.0,0.0,99991231
2018-06-11,VIVT3,ON,10,42.5173,41.4,691448.0,0.0,99991231
2018-06-12,VIVT3,ON,10,42.2873,41.21,2205686.0,0.0,99991231
2018-06-13,VIVT3,ON,10,42.4273,41.49,2210045.0,0.0,99991231
2018-06-14,VIVT3,ON,10,43.0373,41.82,2672957.0,0.0,99991231
2018-06-15,VIVT3,ON,10,42.8973,41.68,804156.0,0.0,99991231
2018-06-18,VIVT3,ON,10,42.957300000000004,41.75,157882.0,0.0,99991231
2018-06-19,VIVT3,ON,10,43.6873,42.47,293853.0,0.0,99991231
2018-06-20,VIVT3,ON,10,43.8173,42.66,1665736.0,0.0,99991231
2018-06-21,VIVT3,ON,10,42.2973,42.5,323341.0,0.0,99991231
2018-06-22,VIVT3,ON,10,42.5773,41.48,412998.0,0.0,99991231
